NSID	HHID	W7MODE	W7QSAMEAD	W7QANYSTA	W7INCAR	W7LIVERELAT	W7SHGINT	W7SEX	W7RELATION
NS10065P	1	2	1	-91	-91	-91	4	-91	-91
NS10065P	2	2	1	-91	-91	-91	1	-91	-91
NS10065P	3	2	1	-91	-91	-91	1	-91	-91
NS10065P	4	2	1	-91	-91	-91	1	-91	-91
NS10072F	1	3	1	-91	-91	-91	4	-91	-91
NS10072F	2	3	1	-91	-91	-91	1	-91	-91
NS10072F	3	3	1	-91	-91	-91	1	-91	-91
NS10072F	4	3	1	-91	-91	-91	3	-91	-91
NS10072F	5	3	1	-91	-91	-91	1	-91	-91
NS10072F	6	3	1	-91	-91	-91	1	-91	-91
NS10072F	7	3	1	-91	-91	-91	1	-91	-91
NS10072F	8	3	1	-91	-91	-91	1	-91	-91
NS10072F	9	3	1	-91	-91	-91	1	-91	-91
NS10072F	10	3	1	-91	-91	-91	3	-91	-91
NS10072F	11	3	1	-91	-91	-91	3	-91	-91
NS10074H	1	3	1	-91	-91	-91	4	-91	-91
NS10074H	2	3	1	-91	-91	-91	1	-91	-91
NS10074H	3	3	1	-91	-91	-91	1	-91	-91
NS10074H	4	3	1	-91	-91	-91	1	-91	-91
NS10074H	5	3	1	-91	-91	-91	1	-91	-91
NS10074H	6	3	1	-91	-91	-91	2	2	6
NS10076K	1	3	1	-91	-91	-91	4	-91	-91
NS10076K	2	3	1	-91	-91	-91	0	-91	-91
NS10076K	3	3	1	-91	-91	-91	0	-91	-91
NS10076K	4	3	1	-91	-91	-91	0	-91	-91
NS10076K	5	3	1	-91	-91	-91	2	1	1
NS10076K	6	3	1	-91	-91	-91	2	2	1
NS10076K	7	3	1	-91	-91	-91	2	2	2
NS10078M	1	3	1	-91	-91	-91	4	-91	-91
NS10078M	2	3	1	-91	-91	-91	1	-91	-91
NS10078M	3	3	1	-91	-91	-91	1	-91	-91
NS10078M	4	3	1	-91	-91	-91	2	1	4
NS10079N	1	2	1	-91	-91	-91	4	-91	-91
NS10079N	2	2	1	-91	-91	-91	1	-91	-91
NS10079N	3	2	1	-91	-91	-91	0	-91	-91
NS10079N	4	2	1	-91	-91	-91	0	-91	-91
NS10079N	5	2	1	-91	-91	-91	1	-91	-91
NS10079N	6	2	1	-91	-91	-91	2	1	2
NS10086E	1	3	1	-91	-91	-91	4	-91	-91
NS10086E	2	3	1	-91	-91	-91	1	-91	-91
NS10086E	3	3	1	-91	-91	-91	1	-91	-91
NS10086E	4	3	1	-91	-91	-91	1	-91	-91
NS10086E	5	3	1	-91	-91	-91	1	-91	-91
NS10086E	6	3	1	-91	-91	-91	1	-91	-91
NS10086E	7	3	1	-91	-91	-91	1	-91	-91
NS10086E	8	3	1	-91	-91	-91	1	-91	-91
NS10086E	9	3	1	-91	-91	-91	1	-91	-91
NS10088G	1	2	1	-91	-91	-91	4	-91	-91
NS10088G	2	2	1	-91	-91	-91	0	-91	-91
NS10088G	3	2	1	-91	-91	-91	1	-91	-91
NS10088G	4	2	1	-91	-91	-91	0	-91	-91
NS10088G	5	2	1	-91	-91	-91	0	-91	-91
NS10088G	6	2	1	-91	-91	-91	3	-91	-91
NS10089H	1	2	1	-91	-91	-91	4	-91	-91
NS10089H	2	2	1	-91	-91	-91	1	-91	-91
NS10089H	3	2	1	-91	-91	-91	1	-91	-91
NS10089H	4	2	1	-91	-91	-91	1	-91	-91
NS10090S	1	3	1	-91	-91	-91	4	-91	-91
NS10090S	2	3	1	-91	-91	-91	1	-91	-91
NS10090S	3	3	1	-91	-91	-91	0	-91	-91
NS10090S	4	3	1	-91	-91	-91	1	-91	-91
NS10091T	1	2	1	-91	-91	-91	4	-91	-91
NS10091T	2	2	1	-91	-91	-91	1	-91	-91
NS10091T	3	2	1	-91	-91	-91	1	-91	-91
NS10091T	4	2	1	-91	-91	-91	1	-91	-91
NS10091T	5	2	1	-91	-91	-91	3	-91	-91
NS10092V	1	1	2	2	8	-91	4	-91	-91
NS10092V	2	1	2	2	8	-91	3	-91	-91
NS10092V	3	1	2	2	8	-91	3	-91	-91
NS10092V	4	1	2	2	8	-91	2	2	3
NS10093W	1	2	2	2	8	-91	4	-91	-91
NS10093W	2	2	2	2	8	-91	3	-91	-91
NS10093W	3	2	2	2	8	-91	3	-91	-91
NS10093W	4	2	2	2	8	-91	3	-91	-91
NS10093W	5	2	2	2	8	-91	3	-91	-91
NS10093W	6	2	2	2	8	-91	3	-91	-91
NS10093W	7	2	2	2	8	-91	3	-91	-91
NS10094X	1	3	1	-91	-91	-91	4	-91	-91
NS10094X	2	3	1	-91	-91	-91	0	-91	-91
NS10094X	3	3	1	-91	-91	-91	0	-91	-91
NS10094X	4	3	1	-91	-91	-91	0	-91	-91
NS10094X	5	3	1	-91	-91	-91	0	-91	-91
NS10094X	6	3	1	-91	-91	-91	1	-91	-91
NS10095Y	1	3	1	-91	-91	-91	4	-91	-91
NS10095Y	2	3	1	-91	-91	-91	0	-91	-91
NS10095Y	3	3	1	-91	-91	-91	0	-91	-91
NS10095Y	4	3	1	-91	-91	-91	2	2	1
NS10095Y	5	3	1	-91	-91	-91	2	2	2
NS10096Z	1	2	1	-91	-91	-91	4	-91	-91
NS10096Z	2	2	1	-91	-91	-91	1	-91	-91
NS10096Z	3	2	1	-91	-91	-91	1	-91	-91
NS10096Z	4	2	1	-91	-91	-91	1	-91	-91
NS10096Z	5	2	1	-91	-91	-91	1	-91	-91
NS10096Z	6	2	1	-91	-91	-91	1	-91	-91
NS10096Z	7	2	1	-91	-91	-91	1	-91	-91
NS10100T	1	2	1	-91	-91	-91	4	-91	-91
NS10100T	2	2	1	-91	-91	-91	1	-91	-91
NS10100T	3	2	1	-91	-91	-91	1	-91	-91
NS10100T	4	2	1	-91	-91	-91	0	-91	-91
NS10100T	5	2	1	-91	-91	-91	1	-91	-91
NS10100T	6	2	1	-91	-91	-91	1	-91	-91
NS10101V	1	2	2	2	8	-91	4	-91	-91
NS10101V	2	2	2	2	8	-91	3	-91	-91
NS10101V	3	2	2	2	8	-91	3	-91	-91
NS10101V	4	2	2	2	8	-91	0	-91	-91
NS10101V	5	2	2	2	8	-91	3	-91	-91
NS10101V	6	2	2	2	8	-91	3	-91	-91
NS10101V	7	2	2	2	8	-91	3	-91	-91
NS10101V	8	2	2	2	8	-91	3	-91	-91
NS10101V	9	2	2	2	8	-91	2	2	2
NS10101V	10	2	2	2	8	-91	2	1	6
NS10101V	11	2	2	2	8	-91	2	1	6
NS10101V	12	2	2	2	8	-91	2	1	6
NS10101V	13	2	2	2	8	-91	2	1	6
NS10101V	14	2	2	2	8	-91	2	2	6
NS10105Z	1	2	1	-91	-91	-91	4	-91	-91
NS10105Z	2	2	1	-91	-91	-91	1	-91	-91
NS10105Z	3	2	1	-91	-91	-91	1	-91	-91
NS10105Z	4	2	1	-91	-91	-91	1	-91	-91
NS10108C	1	3	1	-91	-91	-91	4	-91	-91
NS10108C	2	3	1	-91	-91	-91	1	-91	-91
NS10108C	3	3	1	-91	-91	-91	1	-91	-91
NS10108C	4	3	1	-91	-91	-91	1	-91	-91
NS10108C	5	3	1	-91	-91	-91	1	-91	-91
NS10110N	1	3	1	-91	-91	-91	4	-91	-91
NS10110N	2	3	1	-91	-91	-91	0	-91	-91
NS10110N	3	3	1	-91	-91	-91	0	-91	-91
NS10110N	4	3	1	-91	-91	-91	0	-91	-91
NS10110N	5	-91	-91	-91	-91	-91	0	-91	-91
NS10110N	6	-91	-91	-91	-91	-91	0	-91	-91
NS10110N	7	3	1	-91	-91	-91	1	-91	-91
NS10110N	8	3	1	-91	-91	-91	1	-91	-91
NS10110N	9	3	1	-91	-91	-91	1	-91	-91
NS10110N	10	3	1	-91	-91	-91	2	1	1
NS10114S	1	3	2	2	8	-91	4	-91	-91
NS10114S	2	3	2	2	8	-91	0	-91	-91
NS10114S	3	3	2	2	8	-91	0	-91	-91
NS10114S	4	3	2	2	8	-91	0	-91	-91
NS10114S	5	3	2	2	8	-91	2	1	3
NS10120H	1	2	1	-91	-91	-91	4	-91	-91
NS10120H	2	2	1	-91	-91	-91	1	-91	-91
NS10120H	3	2	1	-91	-91	-91	1	-91	-91
NS10120H	4	2	1	-91	-91	-91	1	-91	-91
NS10120H	5	2	1	-91	-91	-91	1	-91	-91
NS10121J	1	2	1	-91	-91	-91	4	-91	-91
NS10121J	2	2	1	-91	-91	-91	1	-91	-91
NS10121J	3	2	1	-91	-91	-91	0	-91	-91
NS10121J	4	2	1	-91	-91	-91	1	-91	-91
NS10121J	5	2	1	-91	-91	-91	0	-91	-91
NS10121J	6	2	1	-91	-91	-91	0	-91	-91
NS10121J	7	2	1	-91	-91	-91	0	-91	-91
NS10121J	8	2	1	-91	-91	-91	0	-91	-91
NS10121J	9	2	1	-91	-91	-91	0	-91	-91
NS10126P	1	3	1	-91	-91	-91	4	-91	-91
NS10126P	2	3	1	-91	-91	-91	1	-91	-91
NS10126P	3	3	1	-91	-91	-91	1	-91	-91
NS10126P	4	3	1	-91	-91	-91	1	-91	-91
NS10128R	1	3	1	-91	-91	-91	4	-91	-91
NS10128R	2	3	1	-91	-91	-91	1	-91	-91
NS10128R	3	3	1	-91	-91	-91	1	-91	-91
NS10128R	4	3	1	-91	-91	-91	1	-91	-91
NS10130C	1	3	1	-91	-91	-91	4	-91	-91
NS10130C	2	3	1	-91	-91	-91	1	-91	-91
NS10130C	3	3	1	-91	-91	-91	0	-91	-91
NS10131D	1	3	1	-91	-91	-91	4	-91	-91
NS10131D	2	3	1	-91	-91	-91	1	-91	-91
NS10131D	3	3	1	-91	-91	-91	1	-91	-91
NS10131D	4	3	1	-91	-91	-91	6	-91	-91
