NSID	W1HhID	W1AgeIf	W1Sex	W1MarStat	W1LiveWit	W1EmpStat	W1EthGrp	W1R_1	W1R_2	W1R_3	W1R_4	W1R_5	W1R_6	W1R_7	W1R_8	W1R_9	W1R_10	W1R_11	W1R_12	W1R_13	W1R_14	W1STypeE	W1mainres	W1secores	W1histres	W1vInfoN	Designweight
NS19283R	1	14	2	-91	-91	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS19283R	2	51	2	2	-91	4	8	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS19283R	3	53	1	2	-91	1	8	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	.370173169347943
NS19283R	4	24	2	1	2	1	8	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	22	2	3	2	5	.370173169347943
NS19283R	5	22	2	1	2	1	8	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	22	2	3	2	5	.370173169347943
NS10140X	1	14	2	-91	-91	-91	7	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.243715062524953
NS10140X	2	44	2	6	1	1	16	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.243715062524953
NS10140X	3	39	1	1	1	1	1	11	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.243715062524953
NS14296L	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	2	38	2	3	-91	6	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	3	52	1	3	-91	8	1	8	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	4	18	2	1	2	5	1	15	3	15	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	5	13	1	-91	-91	-91	1	13	3	3	15	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	6	10	1	-91	-91	-91	1	13	3	3	15	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS14296L	7	7	2	-91	-91	-91	1	13	3	3	15	13	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS17932R	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	1.36628717976343
NS17932R	2	48	2	3	-91	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	1.36628717976343
NS17932R	3	48	1	3	-91	2	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	1.36628717976343
NS17932R	4	16	1	1	2	5	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	1.36628717976343
NS17932R	5	13	2	-91	-91	-91	1	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	5	1.36628717976343
NS24111G	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
NS13683B	1	14	1	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS13683B	2	45	2	2	-91	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS13683B	3	44	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS13683B	4	10	1	-91	-91	-91	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	2	1.36628717976343
NS15760C	1	14	1	-91	-91	-91	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.196456906931692
NS15760C	2	41	2	5	-91	6	13	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.196456906931692
NS15760C	3	15	2	-91	-91	-91	13	13	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	3	.196456906931692
NS19170R	1	14	1	-91	-91	-91	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.365572593787429
NS19170R	2	45	2	5	2	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.365572593787429
NS19170R	3	16	2	1	2	5	4	13	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	0	2	2	.365572593787429
NS19170R	4	18	1	1	2	1	4	13	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	17	2	0	2	2	.365572593787429
