NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS13823N	2	1	2006	9	-91
NS13826R	9	1	2007	1	-91
NS13826R	1	2	2006	9	-91
NS13839P	2	1	2006	9	-91
NS13849J	1	1	2006	9	-91
NS13850T	1	1	-1	-91	1
NS13852W	1	1	2006	9	-91
NS13870H	1	1	2006	9	-91
NS13873L	1	1	2006	9	-91
NS13878R	1	1	2006	-1	1
NS13880C	1	1	2006	9	-91
NS13912V	1	1	2006	9	-91
NS13921N	2	1	2006	10	-91
NS13921N	9	2	2006	6	-91
NS13928W	1	1	2006	9	-91
NS13940B	1	1	2006	9	-91
NS13946H	2	1	2006	10	-91
NS13946H	5	2	2006	7	-91
NS13947J	10	1	2006	8	-91
NS13952Y	2	1	2006	8	-91
NS13955B	5	1	2006	8	-91
NS13963T	7	1	2006	9	-91
NS13967Y	1	1	2006	9	-91
NS14048L	1	1	2006	7	-91
NS14058F	1	1	2006	9	-91
NS14079W	2	1	2006	5	-91
NS14080F	1	1	2007	-1	-91
NS14080F	1	2	2007	-1	-91
NS14080F	1	3	2007	9	-91
NS14080F	1	4	-1	-91	-1
NS14084K	7	1	2006	5	-91
NS14090A	1	1	2006	7	-91
NS14092C	4	1	2007	1	-91
NS14092C	9	2	2006	7	-91
NS14093D	1	1	2006	9	-91
NS14095F	1	1	2006	9	-91
NS14104F	1	1	2006	9	-91
NS14106H	4	1	2006	9	-91
NS14110W	2	1	2006	8	-91
NS14117D	1	1	2006	9	-91
NS14118E	5	1	2006	11	-91
NS14118E	1	2	2006	9	-91
NS14127Y	2	1	2007	6	-91
NS14127Y	7	2	2007	4	-91
NS14127Y	5	3	2007	3	-91
NS14127Y	1	4	2006	9	-91
NS14141F	1	1	2006	9	-91
NS14148N	5	1	2006	7	-91
NS14179Y	1	1	2006	9	-91
NS14185N	1	1	2006	9	-91
NS14190C	5	1	2006	9	-91
NS14198L	2	1	2006	3	-91
NS14201E	10	1	2006	9	-91
NS14211Z	1	1	2006	8	-91
NS14234R	7	1	2006	11	-91
NS14234R	5	2	2007	7	-91
NS14234R	1	3	-1	-91	1
NS14256H	1	1	2006	9	-91
NS14264A	5	1	2006	10	-91
NS14264A	1	2	2006	9	-91
NS14266C	1	1	2006	9	-91
NS14268E	5	1	2006	9	-91
NS14269F	1	1	2006	9	-91
NS14272S	1	1	2007	2	-91
NS14272S	7	2	2006	10	-91
NS14272S	8	3	-1	-91	1
NS14284P	7	1	2006	6	-91
NS14295K	1	1	2006	9	-91
NS14298N	1	1	2006	9	-91
NS14301G	5	1	2006	7	-91
NS14307N	1	1	2006	9	-91
NS14313D	5	1	2006	6	-91
NS14314E	5	1	2006	8	-91
NS14316G	1	1	2006	9	-91
NS14320V	1	1	2006	9	-91
NS14343M	1	1	2006	9	-91
NS14350D	1	1	2006	9	-91
NS14358M	1	1	2006	9	-91
NS14359N	1	1	2006	9	-91
NS14367F	9	1	2006	6	-91
NS14378B	1	1	2006	9	-91
NS14393K	1	1	2006	9	-91
NS14406P	1	1	2006	9	-91
NS14414G	1	1	2006	9	-91
NS14423A	1	1	2006	9	-91
NS14435X	1	1	2006	9	-91
NS14437Z	2	1	2006	8	-91
NS14448V	1	1	2007	6	-91
NS14448V	1	2	2006	9	-91
NS14457N	9	1	2006	7	-91
NS14474Z	2	1	2007	4	-91
NS14474Z	5	2	2007	1	-91
NS14474Z	1	3	2006	10	-91
NS14474Z	5	4	2006	7	-91
NS14501L	7	1	2006	9	-91
NS14504P	10	1	2006	9	-91
NS14506R	2	1	2007	1	-91
NS14506R	6	2	2006	9	-91
NS14514J	1	1	2006	9	-91
NS14535Z	5	1	2007	1	-91
NS14535Z	7	2	2006	5	-91
NS14536A	5	1	2006	11	-91
NS14536A	1	2	2006	9	-91
NS14538C	2	1	2007	4	-91
NS14538C	5	2	2006	11	-91
NS14538C	5	3	2006	9	-91
NS14548X	1	1	2006	9	-91
NS14554M	5	1	2006	7	-91
NS14557Q	1	1	2006	9	-91
NS14559S	1	1	2006	9	-91
NS14574B	1	1	2006	11	-91
NS14574B	6	2	2006	5	-91
NS14576D	3	1	2006	9	-91
NS14577E	8	1	2006	10	-91
NS14577E	8	2	2006	10	-91
NS14577E	1	3	2006	9	-91
NS14579G	2	1	2006	7	-91
NS14585X	1	1	2006	9	-91
NS14588A	2	1	2007	5	-91
NS14588A	2	2	2006	11	-91
NS14588A	1	3	2006	9	-91
NS14623E	2	1	2006	9	-91
NS14635B	1	1	2006	9	-91
NS14646X	9	1	2007	4	-91
NS14646X	5	2	2007	4	-91
NS14646X	1	3	2006	9	-91
NS14671A	1	1	2006	1	-91
NS14681V	9	1	2006	6	-91
NS14687B	5	1	2006	7	-91
NS14691P	4	1	2006	10	-91
NS14691P	4	2	2006	9	-91
NS14698X	2	1	2006	8	-91
