NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS20635D	2	2	2006	11	-91
NS20635D	9	3	2006	7	-91
NS20641T	1	1	2006	9	-91
NS20645Y	1	1	-1	-91	1
NS20650M	1	1	2006	7	-91
NS20661H	1	1	2006	9	-91
NS20665M	2	1	2006	7	-91
NS20677J	1	1	2006	9	-91
NS20684A	5	1	2007	5	-91
NS20684A	9	2	2007	5	-91
NS20684A	-92	3	-91	-91	-91
NS20694V	1	1	-1	-91	1
NS20707Z	1	1	2006	9	-91
NS20713P	3	1	2006	8	-91
NS20753S	1	1	2006	9	-91
NS20759Z	1	1	2006	10	-91
NS20759Z	4	2	2007	4	-91
NS20759Z	1	3	-1	-91	1
NS20782A	1	1	2006	9	-91
NS20785D	1	1	2006	9	-91
NS20789H	2	1	2006	3	-91
NS20802W	7	1	2007	3	-91
NS20802W	1	2	2006	9	-91
NS20815T	1	1	2006	9	-91
NS20826P	1	1	2006	6	-91
NS20828R	1	1	2006	9	-91
NS20830C	1	1	2006	10	-91
NS20830C	1	2	-1	-91	1
NS20836J	3	1	2006	9	-91
NS20839M	2	1	2007	1	-91
NS20839M	1	2	2006	9	-91
NS20845C	5	1	2006	7	-91
NS20849G	1	1	2006	9	-91
NS20853V	1	1	2006	9	-91
NS20854W	5	1	2006	7	-91
NS20856Y	2	1	2006	7	-91
NS20860L	5	1	2006	9	-91
NS20861M	5	1	2006	12	-91
NS20861M	1	2	2006	7	-91
NS20864Q	5	1	2006	7	-91
NS20867T	2	1	2006	6	-91
NS20872H	1	1	2006	9	-91
NS20881B	1	1	2006	9	-91
NS20913T	1	1	2006	9	-91
NS20916X	4	1	2007	3	-91
NS20916X	5	2	2006	11	-91
NS20916X	1	3	2006	9	-91
NS20920K	1	1	2006	9	-91
NS20925Q	4	1	2006	9	-91
NS20950T	2	1	2006	10	-91
NS20950T	2	2	2006	7	-91
NS20958C	1	1	2006	9	-91
NS20963R	2	1	2007	6	-91
NS20963R	1	2	2006	9	-91
NS20964S	8	1	2006	9	-91
NS20975N	1	1	2006	9	-91
NS20976P	1	1	2006	1	-91
NS20991Y	1	1	2006	9	-91
NS20993A	1	1	2006	9	-91
NS20994B	1	1	2006	9	-91
NS20996D	5	1	2006	7	-91
NS21004B	1	1	2006	6	-91
NS21012T	1	1	2006	10	-91
NS21012T	1	2	2006	9	-91
NS21018A	1	1	2007	3	-91
NS21018A	1	2	2006	9	-91
NS21022N	1	1	2006	8	-91
NS21024Q	1	1	2006	8	-91
NS21026S	1	1	2006	9	-91
NS21036M	5	1	2007	6	-91
NS21036M	1	2	2006	9	-91
NS21046G	1	1	-1	-91	1
NS21052X	7	1	2006	10	-91
NS21052X	1	2	2006	9	-91
NS21053Y	1	1	2006	9	-91
NS21067X	2	1	2006	1	-91
NS21070J	2	1	2007	4	-91
NS21070J	1	2	-1	-91	1
NS21075P	1	1	2006	9	-91
NS21081E	8	1	2006	12	-91
NS21081E	9	2	2006	11	-91
NS21081E	1	3	2006	9	-91
NS21082F	5	1	2006	2	-91
NS21092A	9	1	2006	9	-91
NS21107G	1	1	2006	9	-91
NS21113X	1	1	2006	9	-91
NS21119D	1	1	2006	7	-91
NS21128X	1	1	2006	9	-91
NS21139S	4	1	2006	7	-91
NS21144G	2	1	2006	-1	1
NS21146J	1	1	2006	9	-91
NS21172N	1	1	2006	9	-91
NS21178V	5	1	2007	6	-91
NS21178V	1	2	2006	9	-91
NS21206H	1	1	2006	9	-91
NS21208K	7	1	2007	5	-91
NS21208K	2	2	2006	9	-91
NS21226X	1	1	2006	9	-91
NS21228Z	4	1	2006	9	-91
NS21236R	7	1	2006	9	-91
NS21237S	5	1	2006	7	-91
NS21238T	2	1	2006	7	-91
NS21242G	1	1	-1	-91	1
NS21243H	1	1	2006	9	-91
NS21253C	1	1	2006	9	-91
NS21259J	5	1	2006	6	-91
NS21261V	9	1	2006	6	-91
NS21269D	1	1	2006	1	-91
NS21291D	5	1	2006	8	-91
NS21292E	7	1	2006	11	-91
NS21292E	1	2	2006	9	-91
NS21310Y	10	1	2006	5	-91
NS21311Z	4	1	2006	7	-91
NS21314C	7	1	2006	9	-91
NS21329C	1	1	2006	9	-91
NS21336T	5	1	2006	8	-91
NS21343K	1	1	2006	9	-91
NS21346N	4	1	2006	7	-91
NS21355G	1	1	2006	10	-91
NS21355G	7	2	2006	2	-91
NS21356H	1	1	2006	9	-91
NS21367D	1	1	2006	9	-91
NS21368E	1	1	2006	6	-91
NS21370Q	1	1	2006	9	-91
NS21371R	1	1	2006	9	-91
NS21373T	4	1	2006	9	-91
NS21380K	1	1	2006	9	-91
NS21391F	3	1	2006	9	-91
NS21409Q	9	1	2007	4	-91
NS21409Q	1	2	2006	9	-91
NS21421W	1	1	2006	9	-91
NS21438Y	1	1	2006	1	-91
NS21453G	2	1	2006	6	-91
NS21466E	10	1	2007	4	-91
NS21466E	5	2	2007	3	-91
NS21466E	4	3	2007	1	-91
NS21466E	5	4	2006	10	-91
NS21466E	7	5	2006	7	-91
NS21469H	1	1	2006	9	-91
NS21471T	1	1	2006	9	-91
NS21472V	9	1	2006	9	-91
NS21476Z	5	1	2006	6	-91
NS21477A	5	1	2007	4	-91
NS21477A	1	2	2007	1	-91
NS21477A	5	3	2006	5	-91
NS21478B	8	1	2006	7	-91
NS21480M	1	1	2006	9	-91
NS21481N	2	1	2006	9	-91
NS21484R	1	1	2006	9	-91
NS21490G	1	1	2006	9	-91
NS21496N	1	1	2007	9	-91
NS21496N	1	2	2007	9	-91
NS21496N	1	3	2007	9	-91
NS21496N	1	4	2006	9	-91
NS21501J	2	1	2006	7	-91
NS21503L	10	1	2006	10	-91
NS21503L	1	2	2006	1	-91
NS21504M	7	1	2006	12	-91
NS21504M	5	2	2006	9	-91
NS21515H	1	1	2006	9	-91
NS21519M	1	1	2006	11	-91
NS21519M	1	2	-1	-91	2
NS21519M	1	3	-1	-91	1
NS21534W	1	1	2006	9	-91
NS21539B	1	1	2006	11	-91
NS21539B	1	2	2006	9	-91
NS21548V	8	1	2006	6	-91
NS21551G	8	1	2006	6	-91
NS21552H	5	1	2006	12	-91
NS21552H	1	2	2006	6	-91
NS21564E	1	1	2006	9	-91
NS21571W	1	1	2006	9	-91
NS21577C	4	1	2007	1	-91
NS21577C	5	2	2006	7	-91
NS21583S	1	1	2006	9	-91
NS21590J	1	1	2006	4	-91
NS21591K	1	1	2006	9	-91
NS21597R	1	1	2006	9	-91
NS21601L	5	1	2007	2	-91
NS21601L	4	2	2006	10	-91
NS21601L	1	3	2006	9	-91
NS21615K	1	1	2006	10	-91
NS21615K	1	2	2006	7	-91
NS21620Z	1	1	2006	9	-91
NS21623C	1	1	2006	9	-91
NS21656P	4	1	2006	10	-91
NS21656P	5	2	2006	6	-91
NS21657Q	3	1	2006	9	-91
NS21668L	1	1	2006	10	-91
NS21668L	1	2	2006	9	-91
NS21674B	1	1	2006	9	-91
NS21679G	1	1	2006	9	-91
NS21681S	9	1	2006	7	-91
NS21692N	1	1	2006	9	-91
NS21701N	1	1	2006	9	-91
NS21706T	7	1	2006	1	-91
NS21708W	1	1	2006	9	-91
NS21715M	5	1	2006	12	-91
NS21715M	4	2	2006	8	-91
NS21718Q	7	1	2006	-1	-1
NS21729L	5	1	2006	7	-91
NS21735B	4	1	2007	1	-91
NS21735B	7	2	2006	10	-91
NS21735B	1	3	2006	9	-91
NS21741R	4	1	2007	1	-91
NS21741R	5	2	2006	7	-91
NS21757S	4	1	2006	11	-91
NS21757S	7	2	2006	6	-91
NS21766L	9	1	2007	1	-91
NS21766L	8	2	2007	1	-91
NS21766L	8	3	2007	1	-91
NS21766L	-92	4	-91	-91	-91
NS21771A	1	1	-1	-91	1
NS21777G	4	1	2006	7	-91
NS21808Y	1	1	2006	9	-91
NS21812L	1	1	2006	9	-91
NS21825J	1	1	2006	9	-91
NS21844X	8	1	2007	3	-91
NS21844X	2	2	2006	11	-91
NS21844X	5	3	2006	7	-91
NS21845Y	1	1	2006	9	-91
NS21846Z	9	1	2007	2	-91
NS21846Z	1	2	2006	9	-91
NS21851N	5	1	2007	2	-91
NS21851N	2	2	2006	10	-91
NS21851N	5	3	2006	8	-91
NS21856T	7	1	2006	11	-91
NS21856T	5	2	2006	7	-91
NS21869R	1	1	2007	7	-91
NS21869R	1	2	-1	-91	1
NS21872D	1	1	2006	3	-91
NS21886C	1	1	2006	9	-91
NS21893T	2	1	2006	11	-91
NS21893T	5	2	2006	7	-91
NS21894V	1	1	2006	7	-91
NS21917T	1	1	2006	9	-91
NS21921G	2	1	2007	2	-91
NS21921G	1	2	2006	9	-91
NS21927N	1	1	2006	9	-91
NS21939K	1	1	2006	9	-91
NS21965P	1	1	2006	9	-91
NS21968S	9	1	2006	6	-91
NS21973G	9	1	2006	7	-91
NS21975J	2	1	2006	5	-91
NS21981Z	1	1	2007	9	-91
NS21981Z	1	2	2006	9	-91
NS21988G	5	1	2006	7	-91
NS21994X	4	1	2007	2	-91
NS21994X	10	2	2006	11	-91
NS21994X	5	3	2006	10	-91
NS21994X	1	4	2006	9	-91
NS22025M	9	1	2006	12	-91
NS22025M	1	2	2006	9	-91
NS22049F	1	1	2006	9	-91
NS22067S	2	1	2006	9	-91
NS22071F	9	1	2006	6	-91
NS22076L	1	1	2006	9	-91
NS22102X	5	1	2007	4	-91
NS22102X	2	2	2007	1	-91
NS22102X	4	3	2006	8	-91
NS22104Z	8	1	2007	6	-91
NS22104Z	1	2	2006	9	-91
NS22109E	1	1	2006	9	-91
NS22119Z	5	1	2006	9	-91
NS22120J	1	1	2006	9	-91
NS22127R	4	1	2006	9	-91
NS22128S	1	1	2006	9	-91
NS22134H	8	1	2006	6	-91
NS22143B	10	1	2007	5	-91
NS22143B	5	2	2006	9	-91
NS22146E	1	1	2007	4	-91
NS22146E	5	2	2006	12	-91
NS22146E	1	3	2006	9	-91
NS22168W	5	1	2006	10	-91
NS22168W	1	2	2006	9	-91
NS22201Y	1	1	2006	1	-91
NS22209G	1	1	2006	9	-91
NS22211S	10	1	2006	8	-91
NS22222N	5	1	2007	2	-91
NS22222N	2	2	2006	9	-91
NS22296E	1	1	2006	9	-91
NS22307G	5	1	2006	7	-91
NS22334M	8	1	2006	6	-91
NS22347K	1	1	2006	9	-91
NS22378V	7	1	2007	1	-91
NS22378V	2	2	2006	10	-91
NS22378V	5	3	-1	-91	-1
NS22383J	1	1	2006	9	-91
NS22387N	1	1	2006	9	-91
NS22394E	1	1	2006	9	-91
NS22399K	1	1	2006	9	-91
NS22408K	1	1	2006	9	-91
NS22411X	5	1	2006	9	-91
NS22435Q	1	1	2006	9	-91
NS22441F	2	1	2006	12	-91
NS22441F	2	2	2006	7	-91
NS22443H	2	1	2006	10	-91
NS22443H	1	2	-1	-91	1
NS22452B	1	1	2006	9	-91
NS22453C	1	1	2006	9	-91
NS22465Z	1	1	2006	9	-91
NS22466A	7	1	2006	5	-91
NS22492E	5	1	2006	7	-91
NS22496J	2	1	2007	1	-91
NS22496J	5	2	2006	7	-91
NS22499M	5	1	2006	6	-91
NS22500D	5	1	2006	6	-91
NS22506K	1	1	2006	9	-91
NS22513B	1	1	2006	9	-91
NS22514C	2	2	-1	-91	2
NS22514C	2	3	-1	-91	2
NS22514C	2	4	-1	-91	2
NS22514C	2	5	-1	-91	1
NS22515D	1	1	2006	9	-91
NS22520S	5	1	2006	7	-91
NS22527A	1	1	2006	8	-91
NS22542J	10	1	2006	9	-91
NS22544L	1	1	2006	9	-91
NS22545M	1	1	2006	9	-91
NS22549R	2	1	2006	8	-91
NS22571R	5	1	2007	1	-91
NS22571R	7	2	2006	11	-91
NS22571R	1	3	2006	9	-91
NS22580K	1	1	2006	9	-91
NS22599P	5	1	2006	7	-91
NS22609Q	7	1	2007	3	-91
NS22609Q	5	2	2006	12	-91
NS22609Q	1	3	2006	9	-91
NS22618J	1	1	-1	-91	2
NS22618J	1	2	-1	-91	-1
NS22619K	1	1	2006	9	-91
NS22622X	2	1	2006	9	-91
NS22627C	1	1	2006	9	-91
NS22649T	1	1	2006	9	-91
NS22651E	1	1	2006	2	-91
NS22661Z	9	1	2006	9	-91
NS22668G	1	1	2006	9	-91
NS22678B	7	1	2007	1	-91
NS22678B	1	2	2006	9	-91
NS22688W	5	1	2006	6	-91
NS22697P	1	1	2006	9	-91
NS22708R	1	1	2006	9	-91
NS22711D	7	1	2006	9	-91
NS22724B	1	1	2006	9	-91
NS22734W	5	1	2006	2	-91
NS22736Y	1	1	2006	9	-91
NS22749W	4	1	2006	7	-91
NS22750F	1	1	2006	9	-91
NS22757N	5	1	2006	7	-91
NS22763D	4	1	2007	2	-91
NS22763D	1	2	2007	1	-91
NS22763D	8	3	-1	-91	1
NS22764E	5	1	2006	6	-91
NS22765F	1	1	-1	-91	1
NS22781Q	1	1	2006	9	-91
NS22784T	4	1	2006	3	-91
NS22787X	2	1	2007	1	-91
NS22787X	9	2	2006	7	-91
NS22799T	1	1	2006	9	-91
NS22809V	2	1	2007	1	-91
NS22809V	1	2	2006	9	-91
NS22812G	1	1	2006	9	-91
NS22833X	4	1	2006	1	-91
NS22847W	1	1	2006	9	-91
NS22851J	7	1	2006	5	-91
NS22865H	1	1	2006	10	-91
NS22865H	1	2	2006	1	-91
NS22871Y	5	1	2006	12	-91
NS22871Y	1	2	2006	9	-91
NS22876D	8	1	2006	6	-91
NS22877E	2	1	2007	4	-91
NS22877E	5	2	2006	7	-91
NS22888A	1	1	2006	9	-91
NS22917P	2	1	2006	9	-91
NS22923E	4	1	2006	6	-91
NS22928K	1	1	2006	9	-91
NS22930W	1	1	2006	9	-91
NS22943T	1	1	2006	9	-91
NS22966L	1	1	2006	5	-91
NS22975E	2	1	2007	4	-91
NS22975E	1	2	2006	9	-91
NS22985Z	1	1	2006	9	-91
NS22987B	1	1	2007	2	-91
NS22987B	1	2	2006	9	-91
NS22994S	7	1	2007	2	-91
NS22994S	1	2	2006	9	-91
NS22997W	5	1	2006	6	-91
NS23006V	1	1	2006	9	-91
NS23008X	1	1	2006	9	-91
NS23012K	1	1	2006	1	-91
NS23023F	1	1	2006	9	-91
NS23028L	2	1	2007	1	-91
NS23028L	1	2	2006	9	-91
NS23029M	1	1	2006	10	-91
NS23029M	1	2	2006	1	-91
NS23035C	2	1	2006	12	-91
NS23035C	5	2	2006	7	-91
NS23051M	1	1	2006	9	-91
NS23069Q	1	1	2006	7	-91
NS23071B	8	1	2006	5	-91
NS23078J	1	1	2006	10	-91
NS23078J	1	2	-1	-91	1
NS23083Y	1	1	2006	9	-91
NS23087C	2	1	2007	2	-91
NS23087C	1	2	2006	9	-91
NS23093S	5	1	2007	5	-91
NS23093S	2	2	2006	8	-91
NS23095V	4	1	2006	12	-91
NS23095V	4	2	2006	6	-91
NS23100Q	4	1	2006	9	-91
NS23118T	6	1	2007	1	-91
NS23118T	1	2	-1	-91	-1
NS23152Q	1	1	2006	11	-91
NS23152Q	5	2	2006	7	-91
NS23161J	1	1	2006	9	-91
NS23175H	4	1	2006	9	-91
NS23186D	1	1	2006	9	-91
NS23225M	1	1	-1	-91	2
NS23225M	1	2	2006	9	-91
NS23231C	1	1	2006	9	-91
NS23250Q	8	1	2006	10	-91
NS23250Q	1	2	-1	-91	1
NS23254V	2	1	2006	4	-91
NS23261L	1	1	2006	9	-91
NS23267S	1	1	2006	9	-91
NS23271F	1	1	2006	9	-91
NS23273H	1	1	2006	9	-91
NS23285E	10	1	2006	5	-91
NS23290T	5	1	2006	7	-91
NS23291V	10	1	2006	6	-91
NS23298C	5	1	2006	7	-91
NS23326Q	1	1	2006	9	-91
NS23338M	1	1	-1	-91	1
NS23356Z	7	1	2006	11	-91
NS23356Z	1	2	2006	9	-91
NS23400X	1	1	2006	9	-91
NS23422N	1	1	2006	9	-91
NS23425R	10	1	2007	2	-91
NS23425R	8	2	2006	10	-91
NS23425R	2	3	2006	9	-91
NS23441B	1	1	2006	9	-91
NS23446G	2	1	2006	7	-91
NS23474N	1	1	2006	9	-91
NS23486K	5	1	2006	8	-91
NS23505E	1	1	2006	8	-91
NS23514Y	1	1	2007	6	-91
NS23514Y	1	2	2006	9	-91
NS23516A	1	1	2006	9	-91
NS23569B	2	1	2006	9	-91
NS23575R	1	1	2006	9	-91
NS23595F	8	1	2007	4	-91
NS23595F	5	2	2006	8	-91
NS23596G	3	1	2006	9	-91
NS23599K	8	1	2006	7	-91
NS23609L	1	1	2006	9	-91
NS23611X	1	1	2006	9	-91
NS23618E	1	1	2006	10	-91
NS23618E	1	2	-1	-91	1
NS23629A	1	1	2006	9	-91
NS23647M	1	1	2006	9	-91
NS23656F	8	1	2006	6	-91
NS23659J	5	1	2006	7	-91
NS23660T	4	1	2006	10	-91
NS23660T	4	2	2006	9	-91
NS23661V	2	1	2007	2	-91
NS23661V	2	2	2006	7	-91
NS23662W	5	1	2006	7	-91
NS23669D	1	1	2006	9	-91
NS23671P	4	1	2006	9	-91
NS23680H	4	1	2007	2	-91
NS23680H	4	2	2006	10	-91
NS23680H	1	3	2006	9	-91
NS23684M	3	1	2006	9	-91
NS23687Q	1	1	2006	9	-91
NS23695H	5	1	2006	7	-91
NS23701E	5	1	2006	8	-91
NS23706K	8	1	2007	9	-91
NS23706K	8	2	2007	5	-91
NS23706K	1	3	2007	2	-91
NS23706K	9	4	2006	12	-91
NS23706K	1	5	2006	-1	1
NS23720S	1	1	2006	9	-91
NS23723W	1	1	2006	9	-91
NS23727A	1	1	2006	9	-91
NS23742J	5	1	2006	7	-91
NS23744L	1	1	2006	9	-91
NS23756H	1	1	2006	9	-91
NS23759L	1	1	2006	9	-91
NS23766C	2	1	2007	6	-91
NS23766C	5	2	2007	5	-91
NS23766C	1	3	2006	9	-91
NS23769F	1	1	2006	9	-91
NS23779A	1	1	2006	9	-91
NS23780K	9	1	2006	7	-91
NS23792G	1	1	2006	10	-91
NS23792G	1	2	2006	9	-91
NS23806M	1	1	2006	9	-91
NS23809Q	5	1	2006	5	-91
NS23813D	10	1	-1	-91	1
NS23834T	5	1	2006	10	-91
NS23834T	1	2	2006	9	-91
NS23839Z	5	1	2006	7	-91
NS23844N	8	1	2007	6	-91
NS23844N	1	2	2006	9	-91
NS23857L	5	1	2006	7	-91
NS23861Z	5	1	2006	6	-91
NS23866E	1	1	2006	9	-91
NS23886T	1	1	2006	9	-91
NS23892J	1	1	2006	9	-91
NS23893K	1	1	2006	9	-91
NS23894L	7	1	2006	10	-91
NS23894L	1	2	2006	10	-91
NS23894L	1	3	2006	7	-91
NS23903L	1	1	2006	9	-91
NS23913F	9	1	2007	5	-91
NS23913F	1	2	2006	9	-91
NS23914G	2	1	2007	6	-91
NS23914G	2	2	2007	4	-91
NS23914G	7	3	2006	3	-91
NS23915H	2	1	2006	11	-91
NS23915H	1	2	-1	-91	1
NS23920X	1	1	2006	9	-91
NS23922Z	4	1	2006	9	-91
NS23944Q	5	1	2007	2	-91
NS23944Q	2	2	2007	1	-91
NS23944Q	7	3	2006	11	-91
NS23944Q	5	4	2006	8	-91
NS23956M	9	1	2006	4	-91
NS23964E	2	1	2006	9	-91
NS23969K	1	1	2006	9	-91
NS23988Y	2	1	2007	6	-91
NS23988Y	5	2	2006	11	-91
NS23988Y	2	3	2006	8	-91
NS24020Y	2	1	2007	1	-91
NS24020Y	1	2	2006	10	-91
NS24020Y	1	3	2006	9	-91
NS24025D	8	1	2006	6	-91
NS24032V	1	1	2006	9	-91
NS24042P	1	1	2006	9	-91
NS24044R	4	1	2006	9	-91
NS24070W	4	1	2006	9	-91
NS24077D	5	1	2006	7	-91
NS24079F	2	1	2006	6	-91
NS24093N	7	1	2006	6	-91
NS24115L	5	1	2006	10	-91
NS24115L	1	2	-1	-91	1
NS24116M	1	1	2006	9	-91
NS24127H	1	1	2006	9	-91
NS24130V	5	1	2006	6	-91
NS24136B	6	1	2006	11	-91
NS24136B	9	2	2006	6	-91
NS24152L	2	1	2007	2	-91
NS24152L	1	2	2006	9	-91
NS24160D	5	1	2006	9	-91
NS24184X	5	1	2006	9	-91
NS24190M	9	1	2006	7	-91
NS24196T	1	1	2006	9	-91
NS24202Q	1	1	2006	9	-91
NS24203R	1	1	2006	9	-91
NS24208X	1	1	2006	9	-91
NS24229M	5	1	2006	8	-91
NS24235C	7	1	2006	10	-91
NS24235C	1	2	2006	1	-91
NS24236D	1	1	2006	4	-91
NS24241S	1	1	2006	9	-91
NS24245X	5	1	2006	4	-91
NS24252N	2	1	-1	-91	2
NS24252N	9	2	2006	5	-91
NS24256S	7	1	2006	5	-91
NS24259W	1	1	2006	9	-91
NS24264K	5	1	2006	7	-91
NS24280V	7	1	2006	1	-91
NS24298Y	1	1	2006	9	-91
NS24303T	1	1	2006	9	-91
NS24312M	1	1	2006	9	-91
NS24342W	5	1	2006	8	-91
NS24358X	7	1	2007	5	-91
NS24358X	9	2	2006	5	-91
NS24362K	2	1	2006	9	-91
NS24364M	1	1	2007	2	-91
NS24364M	1	2	2006	9	-91
NS24374G	7	1	2007	6	-91
NS24374G	1	2	2006	1	-91
NS24398A	5	1	2006	10	-91
NS24398A	1	2	-1	-91	1
NS24408B	5	1	2006	9	-91
NS24419X	1	1	2006	9	-91
NS24422J	4	1	2006	12	-91
NS24422J	5	2	2006	9	-91
NS24429R	1	1	2006	9	-91
NS24446C	1	1	2006	9	-91
NS24451R	1	1	2006	9	-91
NS24464P	1	1	2006	9	-91
NS24480Z	1	1	2006	9	-91
NS24486F	2	2	2006	10	-91
NS24486F	1	3	2006	1	-91
NS24492W	1	1	2006	9	-91
NS24505A	1	1	2006	9	-91
NS24507C	1	1	2006	9	-91
NS24516W	5	1	2006	10	-91
NS24516W	2	2	2006	5	-91
NS24518Y	1	1	2006	11	-91
NS24518Y	1	2	2006	11	-91
NS24518Y	1	3	-1	-91	-1
NS24529T	2	1	2007	6	-91
NS24529T	5	2	2006	5	-91
NS24530D	1	1	2006	9	-91
NS24541Z	1	1	2006	9	-91
NS24543B	8	1	2006	9	-91
NS24565S	1	1	-1	-91	1
NS24575M	7	1	2006	6	-91
NS24588K	8	1	2006	6	-91
NS24602Z	1	1	2006	9	-91
NS24617Z	7	1	2006	11	-91
NS24617Z	9	2	2006	9	-91
NS24619B	1	1	2006	9	-91
NS24634K	7	1	2006	10	-91
NS24634K	5	2	2006	8	-91
NS24643D	1	1	2006	9	-91
NS24654Z	1	1	2006	9	-91
NS24664T	2	1	2006	8	-91
NS24672L	1	1	2006	9	-91
NS24676Q	3	1	2006	9	-91
NS24677R	1	1	2006	9	-91
NS24678S	1	1	2006	5	-91
NS24701A	1	1	2006	9	-91
NS24704D	2	1	2006	5	-91
NS24719D	5	1	2006	7	-91
NS24729Y	1	1	2006	9	-91
NS24735N	1	1	2006	9	-91
NS24761S	1	1	2006	9	-91
NS24763V	3	1	2006	6	-91
NS24764W	1	1	2006	9	-91
NS24768A	2	1	2007	4	-91
NS24768A	2	2	2006	12	-91
NS24768A	5	3	2006	6	-91
NS24776S	1	1	2006	9	-91
NS24794E	7	1	2006	7	-91
NS24802D	8	1	2006	6	-91
NS24808K	1	1	2006	9	-91
NS24810W	5	1	2006	12	-91
NS24810W	1	2	2006	9	-91
NS24822S	1	1	2006	9	-91
NS24858H	5	1	2007	4	-91
NS24858H	5	2	2007	4	-91
NS24858H	5	3	2007	4	-91
NS24858H	-92	4	-91	-91	-91
NS24863X	1	1	2006	9	-91
NS24864Y	5	1	2006	7	-91
NS24890C	1	1	2006	9	-91
NS24907L	1	1	2006	9	-91
NS24909N	1	1	2006	9	-91
NS24947P	2	1	2006	11	-91
NS24947P	1	2	2006	9	-91
NS24951C	8	1	2007	6	-91
NS24951C	1	2	2006	9	-91
NS24962Y	1	1	2006	9	-91
NS24967D	5	1	2006	7	-91
NS24970Q	1	1	2006	9	-91
NS24979A	2	1	2006	9	-91
NS24986R	1	1	2006	1	-91
NS24995K	1	1	2006	9	-91
NS25005K	1	1	2006	9	-91
NS25006L	1	1	2006	9	-91
NS25012B	1	1	2006	1	-91
NS25015E	1	1	2006	9	-91
NS25021V	3	1	2007	4	-91
NS25021V	5	2	-1	-91	2
NS25021V	5	3	2006	7	-91
NS25037W	3	1	2006	2	-91
NS25055H	10	1	2006	10	-91
NS25055H	9	2	2006	7	-91
NS25056J	5	1	2007	4	-91
NS25056J	1	2	2006	10	-91
NS25056J	1	3	2006	9	-91
NS25068F	4	1	2006	10	-91
NS25068F	8	2	2006	7	-91
NS25103K	7	1	2007	3	-91
NS25103K	4	2	2006	9	-91
NS25108Q	1	1	2006	9	-91
NS25127D	2	1	2007	3	-91
NS25127D	5	2	2006	11	-91
NS25127D	2	3	2006	11	-91
NS25127D	5	4	2006	9	-91
NS25163C	7	1	2007	2	-91
NS25163C	1	2	2006	9	-91
NS25181P	10	1	2006	9	-91
NS25194M	1	1	2006	9	-91
NS25198R	1	1	2006	9	-91
NS25221Z	1	1	2006	9	-91
NS25235Y	5	1	2006	12	-91
NS25235Y	1	2	2006	9	-91
NS25237A	7	1	2007	1	-91
NS25237A	1	2	2006	9	-91
NS25257P	1	1	2006	9	-91
NS25258Q	2	1	2006	11	-91
NS25258Q	5	2	2006	7	-91
NS25262D	1	1	2006	9	-91
NS25266H	10	1	2006	9	-91
NS25271X	1	1	2006	9	-91
NS25292M	7	1	2007	7	-91
NS25292M	1	2	2006	1	-91
NS25294P	1	1	2006	9	-91
NS25317N	1	1	-1	-91	1
NS25334Z	1	1	2006	9	-91
NS25336B	1	1	2006	9	-91
NS25345V	1	1	2006	1	-91
NS25348Y	1	1	2006	1	-91
NS25359T	1	1	2006	1	-91
NS25377F	2	1	2006	9	-91
NS25396T	1	1	2006	8	-91
NS25407W	7	1	2007	7	-91
NS25407W	5	2	2007	2	-91
NS25409Y	7	1	-1	-91	1
NS25418R	7	1	2007	4	-91
NS25418R	1	2	2006	9	-91
NS25423F	1	1	2006	9	-91
NS25427K	2	1	2006	11	-91
NS25427K	1	2	2006	1	-91
NS25443V	5	1	2006	11	-91
NS25443V	1	2	2006	9	-91
NS25446Y	1	1	2006	9	-91
NS25450L	1	1	2006	9	-91
NS25460F	1	1	2006	9	-91
NS25463J	8	1	2006	7	-91
NS25466M	1	1	2006	9	-91
NS25470A	1	1	-1	-91	1
NS25472C	8	1	2007	5	-91
NS25472C	5	2	2006	7	-91
NS25497X	1	1	2006	9	-91
NS25502S	1	1	2006	9	-91
NS25510K	9	1	2007	2	-91
NS25510K	1	2	2006	9	-91
NS25521F	1	1	-1	-91	1
NS25534D	1	1	2006	9	-91
NS25536F	5	1	2006	11	-91
NS25536F	5	2	2006	9	-91
NS25538H	1	1	2006	9	-91
NS25539J	1	1	-1	-91	1
NS25547B	1	1	2006	9	-91
NS25555T	4	1	2006	9	-91
NS25557W	1	1	2006	9	-91
NS25558X	5	1	2006	6	-91
NS25575H	1	1	2006	9	-91
NS25596Y	1	1	2006	9	-91
NS25612P	7	1	2006	7	-91
NS25617V	5	1	2006	9	-91
NS25622J	1	1	2006	9	-91
NS25640W	8	1	2006	12	-91
NS25640W	1	2	2006	9	-91
NS25642Y	5	1	2006	11	-91
NS25642Y	2	2	2006	9	-91
NS25648E	2	1	2006	11	-91
NS25648E	5	2	2006	8	-91
NS25657Y	1	1	2006	1	-91
NS25664P	1	1	2006	9	-91
NS25670E	7	1	2006	9	-91
NS25682B	1	1	2006	9	-91
NS25699D	1	1	2006	9	-91
NS25713S	9	1	-1	-91	1
NS25718Y	1	1	2006	9	-91
NS25725P	1	1	2006	9	-91
NS25728S	1	1	2006	9	-91
NS25736K	5	1	2006	9	-91
NS25748G	2	1	2006	8	-91
NS25771H	1	1	2006	9	-91
NS25775M	5	1	2006	9	-91
NS25784F	5	1	2007	5	-91
NS25784F	1	2	2007	1	-91
