NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS10134G	6	4	-1	-1	-1	-1	10	2012	5
NS10134G	7	1	1	-1	-1	-1	10	2011	1
NS10134G	8	1	2	-1	-1	-1	3	2010	2
NS10137K	1	1	1	-1	-1	-1	12	2010	1
NS10137K	2	8	-1	-1	-1	2	4	2009	10
NS10138L	1	1	2	-1	-1	-1	9	2014	2
NS10138L	2	5	-1	1	3	-1	9	2009	6
NS10146D	1	1	1	-1	-1	-1	7	2013	1
NS10146D	2	5	-1	1	3	-1	9	2009	6
NS10147E	1	1	1	-1	-1	-1	5	2007	1
NS10148F	1	1	1	-1	-1	-1	6	2006	1
NS10153V	1	5	-1	1	2	-1	9	2006	6
NS10155X	1	1	1	-1	-1	-1	9	2012	1
NS10155X	2	1	1	-1	-1	-1	9	2011	1
NS10155X	3	5	-1	1	3	-1	9	2008	6
NS10158A	1	1	1	-1	-1	-1	3	2013	1
NS10158A	2	5	-1	1	3	-1	9	2011	6
NS10158A	3	4	-1	-1	-1	-1	7	2011	5
NS10158A	4	5	-1	1	3	-1	9	2009	6
NS10160L	1	1	1	-1	-1	-1	6	2010	1
NS10164Q	1	5	-1	1	3	-1	10	2009	6
NS10165R	1	1	1	-1	-1	-1	7	2012	1
NS10165R	2	6	1	-1	-1	-1	9	2008	12
NS10167T	1	1	2	-1	-1	-1	8	2008	2
NS10168V	1	2	2	-1	-1	-1	12	2015	4
NS10168V	2	1	2	-1	-1	-1	5	2011	2
NS10168V	3	5	-1	1	2	-1	9	2008	6
NS10169W	1	1	1	-1	-1	-1	9	2008	1
NS10169W	2	5	-1	1	1	-1	9	2006	6
NS10170F	1	1	1	-1	-1	-1	9	2011	1
NS10170F	2	5	-1	1	3	-1	9	2008	6
NS10171G	1	1	1	-1	-1	-1	6	2014	1
NS10171G	2	2	1	-1	-1	-1	12	2010	3
NS10171G	3	4	-1	-1	-1	-1	9	2007	5
NS10173J	1	4	-1	-1	-1	-1	7	2013	5
NS10173J	2	5	-1	1	3	-1	9	2012	6
NS10173J	3	5	-1	1	3	-1	10	2008	6
NS10174K	1	1	1	-1	-1	-1	3	2015	1
NS10174K	2	1	2	-1	-1	-1	10	2014	2
NS10174K	3	1	1	-1	-1	-1	6	2012	1
