NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10050P	3	1	2006	2	5	1	6	2008
NS10050P	4	2	2006	-2	4	1	7	2007
NS10051Q	1	2	-7	-7	7	1	6	2010
NS10051Q	2	2	2008	9	6	1	8	2009
NS10051Q	3	2	-5	-1	5	1	8	2008
NS10051Q	4	2	2006	-2	4	1	7	2007
NS10052R	1	1	2011	10	8	1	1	2016
NS10052R	2	2	2008	9	8	1	1	2016
NS10052R	3	2	-7	-7	7	1	7	2010
NS10052R	4	2	2008	9	6	1	8	2009
NS10052R	5	2	2006	9	5	1	7	2008
NS10052R	6	2	2006	-2	4	1	9	2007
NS10053S	1	3	2015	7	8	1	11	2015
NS10053S	2	3	2013	2	8	1	11	2015
NS10053S	3	6	2011	11	8	1	11	2015
NS10053S	4	4	2008	7	8	1	11	2015
NS10053S	5	3	-7	-7	7	1	6	2010
NS10053S	6	3	2007	9	6	1	6	2009
NS10053S	7	2	2006	-2	4	1	8	2007
NS10054T	1	1	2008	3	5	1	7	2008
NS10054T	2	1	2007	3	5	1	7	2008
NS10054T	3	2	2006	-2	4	1	7	2007
NS10055V	1	1	2013	10	8	1	8	2016
NS10055V	2	1	2013	3	8	1	8	2016
NS10055V	3	3	2012	6	8	1	8	2016
NS10055V	4	2	2010	6	8	1	8	2016
NS10055V	5	2	-8	-8	7	1	6	2010
NS10055V	6	2	-8	-8	7	1	6	2010
NS10055V	7	2	-6	-1	6	1	5	2009
NS10055V	8	2	2006	9	5	1	7	2008
NS10055V	9	2	2006	-2	4	1	8	2007
NS10056W	1	1	2015	2	8	1	8	2015
NS10056W	2	3	2014	10	8	1	8	2015
NS10056W	3	1	2014	10	8	1	8	2015
NS10056W	4	2	2013	9	8	1	8	2015
NS10056W	5	1	2013	6	8	1	8	2015
NS10056W	6	1	2013	3	8	1	8	2015
NS10056W	7	3	2013	1	8	1	8	2015
NS10056W	8	1	2012	7	8	1	8	2015
NS10056W	9	2	2008	9	8	1	8	2015
NS10056W	10	2	-7	-7	7	1	6	2010
NS10056W	11	2	2008	9	6	1	6	2009
NS10056W	12	2	2006	9	5	1	6	2008
NS10056W	13	2	2006	-2	4	1	9	2007
NS10059Z	1	1	2015	2	8	1	1	2016
NS10059Z	2	1	2011	9	8	1	1	2016
NS10059Z	3	2	2008	9	8	1	1	2016
NS10059Z	4	2	-7	-7	7	1	6	2010
NS10059Z	5	2	2008	9	6	1	5	2009
NS10059Z	6	2	-5	-1	5	1	6	2008
NS10059Z	7	2	2006	-2	4	1	9	2007
NS10060J	1	1	2006	11	8	1	1	2016
NS10060J	2	1	-7	-7	7	1	5	2010
NS10060J	3	1	-6	-1	6	1	5	2009
