NSID	W1mainres	W1secores	W1histres	W2mainres	W2secores	W2histres	W1motherID	W1fatherID	W2motherID	W2fatherID	W1sampborHS	W1sampbo2HS	W2sampborHS	W2sampbo2HS	W1nurschHS	W1numsch	W1inyrmov	W2numsch	W2inyrmov	W1curparyHS	W1eversepHS	W1expart2HS	W1expart1HS	W1livesepHS	W2curparyHS	W2eversepHS	W2expart2HS	W2expart1HS	W2livesepHS	W1everspf	W1WhenSpf	W1yearsspf	W1Partners	W2everspf	W2WhenSpf	W2yearsspf	W2Partners	SpfBth	mbirthag	birthwb	BirthWa1	BirthWa2	bwtkg	birthw2	birthw3	wksearly	wtcheck	Femps5	Memps5	MRetwrk	MRetptft	W1duruntotMP	W1duruntot5MP	W1duruntot10MP	W1duruntotSP	W1duruntot5SP	W1duruntot10SP	W1duruntotmum	W1duruntot5mum	W1duruntot10mum	W1duruntotdad	W1duruntot5dad	W1duruntot10dad	W2duruntotMP	W2duruntot5MP	W2duruntot10MP	W2duruntotSP	W2duruntot5SP	W2duruntot10SP	W2duruntotmum	W2duruntot5mum	W2duruntot10mum	W2duruntotdad	W2duruntot5dad	W2duruntot10dad
NS17247B	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	1	2	-91	-91	-91	2	2	1	0	8	1	1	0	9	1	1	2	-91	8	13	4	3	2	0	0	-98	10	-91	0	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS22317B	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	1	3	1	5	2	1	-91	2	-91	2	-91	-91	2	0	9	0	1	0	9	0	1	0	2	-91	5	14	2.66	3	1	0	0	-98	10	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15789B	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	2	4	2	4	2	18	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	7	8	3.4	1	-91	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20341M	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	16	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	7	6	3.35	3	1	0	0	5	10	-91	0	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99	0	0	0	81	0	22	0	0	0	81	0	22
NS22580K	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	4	3.29	2	2	2	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20960N	3	2	3	-992	-992	-992	3	2	-992	-992	1	-91	-992	-992	1	2	0	2	0	-92	2	2	-91	2	-992	-992	-992	-992	-992	-94	-94	-94	-94	-992	-992	-992	-992	-94	1	-91	5	14	2.66	1	-91	0	0	1	10	5	2	0	0	0	0	0	0	0	0	0	0	0	0	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992	-992
NS24770L	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	-91	2	-91	-91	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	2	-91	6	0	2.72	1	-91	0	0	-98	1	0	1	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS11210L	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	8	2	3.69	1	-91	0	0	1	10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17314R	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	11	2	1	-91	2	-91	2	-91	-91	2	-94	1	-94	1	-94	1	-94	1	0	2	-91	5	2	2.32	2	4	4	0	-98	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17209A	2	-98	2	2	-98	2	2	-98	2	-98	-99	-99	1	-91	-99	3	0	3	0	-99	-99	-99	-99	-99	-91	-91	-91	2	2	-99	-99	-99	-99	1	0	15	0	-99	3	-94	8	0	3.63	3	1	0	0	-98	1	0	1	-99	-99	-99	-98	-98	-98	-99	-99	-99	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
NS15219D	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	6	6	2.89	3	2	0	0	1	10	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99
NS22067S	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	2	3	0	3	0	-91	-91	-91	2	2	-91	-91	-91	2	2	1	0	14	0	1	0	14	0	1	2	-91	6	13	3.09	1	-91	0	0	-98	2	0	2	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
