NSID	SAMPPSU	SAMPSTRATUM	DESIGNWEIGHT	MAINBOOST	W1OUTCOME	W1FINWT	W2OUTCOME	W2FINWT	W3OUTCOME	W3FINWT	W2TOW3NRWT	W4OUTCOME	W4WEIGHT_MAIN_BOOST	W4WEIGHT_MAIN	W5OUTCOME	W5FINWT_CROSS	W6OUTCOME	W6FINWT_CROSS	W6LSYPEWT	W6LSYPEW4WT	W7OUTCOME	W7_LSYPE_WT	W7FINWT	W7_LSYPE_WT_SKIPONLY	W8OUTCOME	W8FINWT	W9OUTCOME	W9FINWT	DATA_AVAILABILITY
NS18017J	13507	135	.280712770552	1	1	.28	1	.26	1	.25	.96	1	.2715	.2626	1	.27	1	.25	.25	-1	1	.2322	.23212	-1	1	.2	1	.2	1
NS18018K	11763	117	1.366287179763	1	1	1.2	1	1.12	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS18019L	12540	125	1.366287179763	1	1	1.24	1	1.13	1	1.08	.95	1	1.1384	1.1044	3	-1	1	1.19	-1	1.19	1	-1	1.36301	1.34881	1	2.22	5	-1	1
NS18020W	12534	125	1.366287179763	1	1	1.27	1	1.16	1	1.09	.94	1	1.1044	1.071	1	1.07	1	.99	.99	-1	1	.91052	.9102	-1	1	.73	1	.64	1
NS18021X	11038	110	1.366287179763	1	1	1.48	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS18022Y	11719	117	.365572593787	1	1	.32	1	.41	1	.55	1.35	1	.6718	.6548	1	.63	1	.68	.68	-1	1	.73961	.73936	-1	1	1.43	1	1.74	1
NS18023Z	11014	110	1.366287179763	1	1	1.33	1	1.73	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2.14	2	-1	1
NS18024A	10908	109	.365572593787	1	1	.48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS18025B	13101	131	.910858119842	1	1	1.08	1	1.56	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2.05	1	2.51	1
NS18026C	12001	120	1.366287179763	1	1	1.26	1	1.15	1	1.1	.95	1	1.1342	1.0983	1	1.1	5	-1	-1	-1	-1	-1	-1	-1	1	.95	1	.88	1
NS18027D	11452	114	1.366287179763	1	1	1.25	1	1.16	1	1.12	.96	1	1.0621	1.0284	1	1.03	1	1	1	-1	1	.99005	.98971	-1	1	1.05	1	1.04	1
NS18028E	12807	128	.246782112899	1	1	.3	1	.3	1	.3	.99	1	.2739	.2693	1	.26	1	.3	.3	-1	1	.2732	.27311	-1	5	-1	3	-1	1
NS18029F	11023	110	.370173169348	1	1	.4	1	.38	1	.38	.99	1	.3423	.3364	1	.32	1	.3	.3	-1	1	.27545	.27535	-1	1	.2	1	.18	1
NS18030Q	11404	114	1.366287179763	1	1	1.43	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	3	-1	1
NS18031R	13105	131	.910858119842	1	1	.88	1	.86	1	.84	.97	1	.8529	.8262	1	.82	1	.85	.85	-1	2	-1	-1	-1	5	-1	3	-1	1
NS18032S	11418	114	1.366287179763	1	1	1.43	1	1.59	1	2.06	1.29	1	2.3856	2.311	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS18033T	12809	128	.151981943324	1	1	.17	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	1	.15	1
NS18034V	10421	104	1.366287179763	1	1	1.21	1	1.18	1	1.15	.97	1	1.3166	1.2753	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS18035W	11453	114	1.366287179763	1	1	1.27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.35	1	1.44	1
NS18036X	11715	117	1.366287179763	1	1	1.31	1	1.24	1	1.33	1.07	1	1.2826	1.2495	1	1.4	1	1.41	1.41	-1	1	1.44443	1.44393	-1	1	1.26	1	1.22	1
NS18037Y	11733	117	1.366287179763	1	1	1.46	1	1.61	1	1.8	1.11	1	2.036	1.9835	3	-1	5	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18038Z	12012	120	.365572593787	1	1	.37	1	.35	1	.34	.98	1	.3753	.3634	1	.41	1	.39	.39	-1	1	.39621	.39607	-1	2	-1	1	.32	1
NS18039A	11804	118	.421069155828	1	1	.42	1	.41	1	.42	1.01	1	.4249	.413	1	.41	1	.41	.41	-1	1	.4008	.40066	-1	2	-1	3	-1	1
NS18040K	11729	117	1.366287179763	1	1	1.2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18041L	12812	128	.910858119842	1	1	1.25	1	1.32	5	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS18042M	12042	120	1.366287179763	1	1	1.38	1	1.32	1	1.24	.94	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS18043N	11713	117	1.366287179763	1	1	1.27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS18044P	10835	108	.370173169348	1	1	.31	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS18045Q	12531	125	1.366287179763	1	1	1.31	1	1.26	1	1.21	.96	1	1.2623	1.2246	3	-1	1	.83	-1	.83	3	-1	-1	-1	5	-1	5	-1	1
NS18046R	13117	131	.246782112899	1	1	.22	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18047S	11440	114	1.366287179763	1	1	1.32	1	1.29	1	1.23	.95	1	1.1809	1.1435	1	1.14	1	1.07	1.07	-1	1	.99319	.99285	-1	1	.79	3	-1	1
NS18048T	12344	123	1.366287179763	1	1	1.3	1	1.2	1	1.15	.95	1	1.1703	1.134	1	1.11	1	1.05	1.05	-1	1	.98665	.98631	-1	1	.77	1	.68	1
NS18049V	12823	128	.197368486216	1	1	.27	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	1
NS18050E	12520	125	1.366287179763	1	1	1.27	1	1.16	1	1.12	.97	1	1.1548	1.1199	1	1.12	1	1.05	1.05	-1	3	-1	-1	-1	2	-1	2	-1	1
NS18051F	11446	114	.370173169348	1	1	.3	1	.29	1	.28	.95	1	.2679	.2583	1	.26	1	.24	.24	-1	1	.21781	.21774	-1	-1	-1	-1	-1	1
NS18052G	13103	131	.910858119842	1	1	.88	1	.83	1	.81	.97	1	.8107	.7854	1	.79	1	.83	.83	-1	1	1.05229	1.05193	-1	1	1.17	2	-1	1
NS18053H	11021	110	.365572593787	1	1	.38	1	.38	1	.39	1.03	1	.3366	.3454	1	.33	1	.34	.34	-1	1	.33557	.33545	-1	5	-1	2	-1	1
NS18054J	10416	104	1.366287179763	1	1	1.17	1	1.09	1	1.07	.98	1	1.2222	1.1833	1	1.22	1	1.18	1.18	-1	2	-1	-1	-1	2	-1	1	1.56	1
NS18055K	13201	132	.196456906932	1	1	.39	1	.49	1	.49	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.6	3	-1	1
NS18056L	12022	120	1.366287179763	1	1	1.34	1	1.26	1	1.21	.96	1	1.3442	1.3017	1	1.7	5	-1	-1	-1	-1	-1	-1	-1	1	2.32	5	-1	1
NS18057M	11431	114	1.366287179763	1	1	1.28	1	1.27	1	1.19	.94	1	1.2203	1.1821	1	1.32	1	1.38	1.38	-1	1	1.44727	1.44676	-1	1	1.92	1	2.35	1
NS18058N	12018	120	1.366287179763	1	1	1.38	1	1.32	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.17	-1	-1	1
NS18059P	13704	137	.151981943324	1	1	.18	1	.18	1	.2	1.09	1	.1961	.1919	1	.2	2	-1	-1	-1	-1	-1	-1	-1	1	.16	5	-1	1
NS18060Z	10414	104	.370173169348	1	1	.28	1	.26	1	.25	.95	1	.2666	.2571	1	.27	1	.25	.25	-1	1	.23414	.23406	-1	1	.19	1	.2	1
NS18061A	12335	123	.370173169348	1	1	.33	1	.31	1	.31	.98	1	.3183	.3069	1	.3	1	.29	.29	-1	1	.26879	.2687	-1	2	-1	2	-1	1
NS18062B	11101	111	.365572593787	1	1	.38	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.37	1	.44	1
NS18063C	12350	123	1.366287179763	1	1	1.27	1	1.16	1	1.17	1	1	1.2405	1.2025	1	1.17	1	1.24	1.24	-1	5	-1	-1	-1	1	1.44	1	1.37	1
NS18064D	12029	120	1.366287179763	1	1	1.45	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
