NSID	SAMPPSU	SAMPSTRATUM	DESIGNWEIGHT	MAINBOOST	W1OUTCOME	W1FINWT	W2OUTCOME	W2FINWT	W3OUTCOME	W3FINWT	W2TOW3NRWT	W4OUTCOME	W4WEIGHT_MAIN_BOOST	W4WEIGHT_MAIN	W5OUTCOME	W5FINWT_CROSS	W6OUTCOME	W6FINWT_CROSS	W6LSYPEWT	W6LSYPEW4WT	W7OUTCOME	W7_LSYPE_WT	W7FINWT	W7_LSYPE_WT_SKIPONLY	W8OUTCOME	W8FINWT	W9OUTCOME	W9FINWT	DATA_AVAILABILITY
NS17901G	10413	104	1.366287179763	1	1	1.17	1	1.09	1	1.07	.98	1	1.1659	1.1288	1	1.17	1	1.11	1.11	-1	1	1.05354	1.05318	-1	1	1.08	1	1.05	1
NS17902H	12330	123	1.366287179763	1	1	1.3	1	1.2	1	1.21	1.01	1	1.238	1.1996	1	1.18	5	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS17903J	10313	103	1.288521003359	1	1	2.28	1	2.32	1	2.28	.98	1	2.089	2.0156	1	2.12	1	2.01	2.01	-1	1	1.90567	1.905	-1	1	1.78	1	1.84	1
NS17904K	13706	137	.151981882016	1	1	.17	1	.19	1	.19	1.01	1	.2151	.2106	1	.21	1	.23	.23	-1	1	.26254	.26245	-1	2	-1	1	.25	1
NS17905L	12357	123	1.366287179763	1	1	1.36	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS17906M	10812	108	.365572593787	1	1	.36	1	.34	1	.32	.95	1	.3247	.3146	1	.3	1	.28	.28	-1	1	.25699	.2569	-1	1	.19	1	.18	1
NS17907N	10850	108	1.366287179763	1	1	1.31	1	1.29	1	1.33	1.02	1	1.4529	1.4075	1	1.48	1	1.54	1.54	-1	5	-1	-1	-1	2	-1	-1	-1	1
NS17908P	10829	108	1.366287179763	1	1	1.23	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS17909Q	11010	110	.365572593787	1	1	.43	1	.44	1	.45	1.01	1	.4582	.47	1	.45	1	.45	.45	-1	3	-1	-1	-1	5	-1	-1	-1	1
NS17910A	10306	103	.994593937077	1	1	1.86	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.49	3	-1	1
NS17911B	10801	108	1.366287179763	1	1	1.27	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS17912C	13120	131	.910858119842	1	1	.82	1	.97	1	.95	.98	1	1.0305	.9978	5	-1	3	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS17913D	10802	108	1.366287179763	1	1	1.19	1	1.1	1	1.05	.95	1	1.09	1.0565	1	1	1	1	1	-1	1	.9164	.91608	-1	2	-1	2	-1	1
NS17914E	11303	113	1.366287179763	1	1	1.17	1	1.06	1	1.02	.96	1	1.089	1.056	1	1.11	1	1.04	1.04	-1	1	.94923	.9489	-1	1	.94	1	.88	1
NS17915F	10102	101	1.12966224952	1	1	1.77	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS17916G	11306	113	1.366287179763	1	1	1.21	1	1.15	1	1.13	.98	1	1.2347	1.1967	3	-1	1	1.83	-1	1.83	2	-1	-1	-1	5	-1	2	-1	1
NS17917H	11739	117	1.366287179763	1	1	1.23	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	3	-1	1
NS17918J	10841	108	.296052729324	1	1	.31	1	.31	1	.31	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS17919K	12335	123	.370173169348	1	1	.32	1	.36	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS17920V	12040	120	1.366287179763	1	1	.99	1	1	1	.94	.94	1	1.0117	.9797	1	.98	1	1.14	1.14	-1	3	-1	-1	-1	5	-1	-1	-1	1
NS17921W	11301	113	.365572593787	1	1	.39	1	.4	1	.41	1.03	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS17922X	11721	117	1.366287179763	1	1	1.2	1	1.09	1	1.06	.97	1	.9877	.9627	1	.93	1	.93	.93	-1	1	.86128	.86098	-1	1	.76	1	.68	1
NS17923Y	13004	130	.910858119842	1	1	1.05	1	1.06	1	1.13	1.07	1	1.2348	1.1969	1	1.27	1	1.19	1.19	-1	1	1.57226	1.57171	-1	2	-1	1	1.23	1
NS17924Z	11750	117	1.366287179763	1	1	1.2	1	1.09	1	1.04	.95	1	.9544	.9302	1	.9	1	.83	.83	-1	1	.77597	.7757	-1	1	.6	1	.54	1
NS17925A	10811	108	1.366287179763	1	1	1.45	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS17926B	13505	135	.280712770552	1	1	.29	1	.39	1	.38	.96	1	.4066	.3933	1	.44	1	.41	.41	-1	1	.39458	.39444	-1	5	-1	2	-1	1
NS17927C	11437	114	2.064956760324	1	1	2.16	1	2.54	1	2.58	1.02	1	2.5966	2.5154	1	2.82	2	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS17928D	12027	120	1.366287179763	1	1	1.26	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS17929E	10911	109	.294685360398	1	1	.43	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.54	2	-1	1
NS17930P	10817	108	.421069155828	1	1	.44	1	.51	1	.52	1.01	1	.5739	.5545	1	.55	1	.55	.55	-1	1	.63297	.63275	-1	1	.66	2	-1	1
NS17931Q	11320	113	1.366287179763	1	1	1.45	1	1.73	1	1.74	1	1	2.1715	2.1048	1	2.66	1	3.23	3.23	-1	1	2.58443	2.58353	-1	1	4.1	5	-1	1
NS17932R	12340	123	1.366287179763	1	1	1.27	1	1.16	1	1.13	.97	1	1.1262	1.0917	1	1.06	1	1	1	-1	1	.9587	.95836	-1	5	-1	5	-1	1
NS17933S	11035	110	.365572593787	1	1	.41	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.52	2	-1	1
NS17934T	12015	120	1.366287179763	1	1	1.3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS17935V	10201	102	1.244933907634	1	1	1.98	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS17936W	12302	123	.370173169348	1	1	.36	1	.38	1	.37	.98	1	.3793	.3658	1	.36	1	.36	.36	-1	1	.3377	.33758	-1	2	-1	1	.35	1
NS17937X	10408	104	1.366287179763	1	1	1.21	1	1.16	1	1.13	.97	1	1.2596	1.2201	1	1.25	1	1.25	1.25	-1	1	1.37067	1.37019	-1	1	1.94	5	-1	1
NS17938Y	10412	104	1.366287179763	1	1	1.17	1	1.09	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS17939Z	11021	110	1.366287179763	1	1	1.48	1	1.4	1	1.33	.95	1	1.263	1.2476	1	1.18	1	1.12	1.12	-1	1	1.12918	1.12878	-1	1	.99	1	.91	1
NS17940J	11010	110	1.366287179763	1	1	1.52	1	1.43	1	1.37	.96	1	1.293	1.2766	1	1.22	1	1.18	1.18	-1	1	1.09294	1.09256	-1	1	.9	1	.85	1
NS17941K	11323	113	.421069155828	1	1	.35	1	.32	1	.31	.95	1	.4947	.4783	1	.52	1	.52	.52	-1	1	.4757	.47553	-1	1	.35	1	.43	1
NS17942L	11320	113	1.366287179763	1	1	1.28	1	1.21	1	1.22	1.01	1	1.3413	1.3001	1	1.37	5	-1	-1	-1	-1	-1	-1	-1	1	1.21	1	1.34	1
NS17943M	12538	125	1.366287179763	1	1	1.27	1	1.18	1	1.13	.95	1	1.1658	1.1305	1	1.13	1	1.05	1.05	-1	1	.9657	.96537	-1	1	.83	1	.74	1
NS17944N	10810	108	1.366287179763	1	1	1.23	1	1.14	1	1.12	.98	1	1.1847	1.1478	1	1.1	1	1.03	1.03	-1	1	.94948	.94915	-1	1	.71	1	.62	1
NS17945P	10102	101	1.12966224952	1	1	1.77	1	1.73	1	1.67	.96	1	1.3994	1.3493	1	1.45	1	1.36	1.36	-1	1	1.2655	1.26506	-1	2	-1	1	1.47	1
NS17946Q	11323	113	1.366287179763	1	1	1.28	1	1.26	1	1.25	.99	1	1.4431	1.3953	1	1.52	1	1.53	1.53	-1	1	1.48069	1.48018	-1	2	-1	2	-1	1
NS17947R	13203	132	.280712770552	1	1	.3	1	.3	1	.34	1.13	1	.3518	.342	1	.34	1	.34	.34	-1	1	.37606	.37593	-1	2	-1	2	-1	1
NS17948S	11709	117	1.366287179763	1	1	1.31	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS17949T	13108	131	.910858119842	1	1	.88	1	.83	1	.8	.96	1	.7688	.7447	1	.74	3	-1	-1	-1	-1	-1	-1	-1	1	.67	1	.69	1
NS17950D	12352	123	1.366287179763	1	1	1.3	1	1.21	1	1.19	.98	1	1.2144	1.1767	1	1.16	1	1.09	1.09	-1	2	-1	-1	-1	1	.92	1	.94	1
NS17951E	12913	129	.197368486216	1	1	.26	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS17952F	12347	123	1.366287179763	1	1	1.3	1	1.19	1	1.14	.95	1	1.2331	1.1948	1	1.17	1	1.11	1.11	-1	1	1.14251	1.14211	-1	5	-1	1	.97	1
NS17953G	656	48	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.436	0	3	-1	1	.29	-1	.29	3	-1	-1	-1	5	-1	1	1.37	1
NS17954H	11034	110	.421069155828	1	1	.38	1	.37	1	.38	1.01	1	.3736	.3681	1	.36	1	.35	.35	-1	1	.33753	.33741	-1	2	-1	2	-1	1
NS17955J	12512	125	.421069155828	1	1	.39	1	.37	1	.35	.94	1	.3714	.3594	1	.37	1	.37	.37	-1	1	.38804	.38791	-1	2	-1	1	.4	1
NS17956K	13605	136	.280712770552	1	1	.28	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS17957L	10833	108	1.366287179763	1	1	1.23	1	1.17	1	1.1	.94	1	1.0319	1.0189	1	.97	1	.95	.95	-1	1	.91143	.91112	-1	1	.86	1	.8	1
NS17958M	13115	131	.910858119842	1	1	.97	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.98	1	1.11	1
NS17959N	10912	109	.294685360398	1	1	.41	1	.43	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS17960Y	11418	114	1.366287179763	1	1	1.28	1	1.27	1	1.28	1	1	1.231	1.1925	1	1.18	1	1.26	1.26	-1	1	1.37557	1.37509	-1	5	-1	2	-1	1
NS17961Z	11711	117	1.366287179763	1	1	1.31	1	2.02	1	2.02	1	1	1.8623	1.8143	1	1.76	1	1.66	1.66	-1	1	1.54084	1.5403	-1	1	1.28	2	-1	1
NS17962A	12351	123	1.366287179763	1	1	1.3	1	1.19	1	1.17	.98	1	1.1755	1.139	1	1.12	1	1.06	1.06	-1	1	.9867	.98636	-1	5	-1	1	1.05	1
NS17963B	11402	114	1.366287179763	1	1	1.71	1	1.94	1	1.88	.97	1	1.8206	1.7629	1	1.76	1	1.77	1.77	-1	1	1.75163	1.75102	-1	6	-1	5	-1	1
NS17964C	12023	120	1.366287179763	1	1	1.53	1	1.61	1	1.54	.96	1	1.6311	1.5788	1	1.59	3	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS17965D	13709	137	.151981943324	1	1	.17	1	.17	1	.17	.98	1	.1686	.165	1	.17	1	.16	.16	-1	1	.17488	.17482	-1	1	.22	1	.22	1
NS17966E	12330	123	1.366287179763	1	1	1.4	1	1.37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS17967F	11715	117	1.366287179763	1	1	1.23	1	1.14	1	1.08	.95	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	1	1.58	1
NS17968G	10204	102	.695579070306	1	1	1.27	1	1.19	1	1.13	.94	1	.9876	.9577	1	1.01	1	.93	.93	-1	1	.86739	.86708	-1	1	.62	1	.57	1
NS17969H	11721	117	.365572593787	1	1	.4	1	.42	1	.46	1.09	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.34	1
NS17970S	657	48	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.259	0	5	-1	5	-1	-1	-1	-1	-1	-1	-1	2	-1	3	-1	1
NS17971T	11315	113	1.366287179763	1	1	1.17	1	1.06	1	1.02	.96	1	1.1014	1.0681	3	-1	2	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS17972V	12035	120	1.366287179763	1	1	1.26	1	1.2	1	1.14	.94	1	1.164	1.1272	1	1.13	2	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	1
NS17973W	12510	125	.296052729324	1	1	.31	1	.3	1	.29	.96	1	.2253	.2828	1	.23	3	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS17974X	12901	129	.243715062525	1	1	.33	1	.33	1	.37	1.1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS17975Y	13711	137	.151981943324	1	1	.18	1	.18	1	.18	.99	1	.1854	.1815	1	.18	1	.2	.2	-1	3	-1	-1	-1	2	-1	1	.14	1
NS17976Z	10813	108	1.366287179763	1	1	1.27	1	1.25	1	1.23	.97	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.03	1	1.21	1
NS17977A	13503	135	.910858119842	1	1	1.07	1	1.07	1	1.11	1.04	1	1.1753	1.1403	1	1.47	1	1.72	1.72	-1	1	2.07232	2.0716	-1	1	2.54	5	-1	1
NS17978B	11409	114	1.366287179763	1	1	1.21	1	1.13	1	1.09	.97	1	1.0355	1.0031	1	.99	1	.93	.93	-1	1	.98239	.98205	-1	6	-1	1	1.06	1
NS17979C	11435	114	1.366287179763	1	1	1.25	1	1.18	1	1.13	.96	1	1.0923	1.0576	1	1.06	1	1.1	1.1	-1	1	1.09156	1.09118	-1	5	-1	1	1.01	1
NS17980M	10405	104	1.366287179763	1	1	1.17	1	1.1	1	1.06	.96	1	1.1622	1.1253	1	1.16	1	1.21	1.21	-1	1	1.13598	1.13559	-1	1	1.1	1	1.11	1
NS17981N	12511	125	1.366287179763	1	1	1.46	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS17982P	13709	137	.280712770552	1	1	.35	1	.41	1	.51	1.24	1	.5646	.5563	1	.54	1	.54	.54	-1	1	.67513	.67489	-1	1	.87	2	-1	1
NS17983Q	10410	104	1.366287179763	1	1	1.17	1	1.08	1	1.1	1.02	1	1.2554	1.2155	1	1.38	1	1.3	1.3	-1	1	1.46754	1.46703	-1	1	1.62	1	1.62	1
NS17984R	10817	108	1.366287179763	1	1	1.19	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS17985S	11733	117	1.366287179763	1	1	1.27	1	1.22	1	1.19	.97	1	1.1581	1.1288	1	1.23	2	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS17986T	10410	104	1.366287179763	1	1	1.24	1	1.26	1	1.23	.97	1	1.3351	1.2927	1	1.34	1	1.26	1.26	-1	1	1.28694	1.28649	-1	1	1.18	1	1.12	1
NS17987V	11403	114	1.366287179763	1	1	1.43	1	1.63	1	1.65	1.01	1	1.6991	1.6459	1	1.63	1	1.63	1.63	-1	1	1.59006	1.58951	-1	1	2.54	3	-1	1
NS17988W	11457	114	1.366287179763	1	1	1.25	1	1.16	1	1.11	.96	1	1.0589	1.0253	1	1.03	1	1.07	1.07	-1	1	1.01712	1.01677	-1	-1	-1	-1	-1	1
NS17989X	11752	117	.370173169348	1	1	.32	1	.29	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS17990G	10806	108	1.366287179763	1	1	1.23	1	1.19	1	1.17	.98	1	1.2291	1.1907	1	1.14	1	1.07	1.07	-1	1	1.02975	1.0294	-1	1	.84	1	.9	1
NS17991H	12357	123	1.366287179763	1	1	1.3	1	1.2	1	1.16	.97	1	1.2139	1.1762	1	1.16	1	1.07	1.07	-1	1	1.11631	1.11592	-1	1	.86	1	.84	1
NS17992J	12912	129	.196456906932	1	1	.3	1	.35	1	.37	1.06	1	.3559	.4553	1	.38	1	.41	.41	-1	1	.39647	.39634	-1	1	.45	2	-1	1
NS17993K	13701	137	.151981856863	1	1	.17	1	.17	1	.17	.99	1	.1695	.1659	1	.17	1	.17	.17	-1	1	.17488	.17482	-1	2	-1	3	-1	1
NS17994L	12812	128	.197368486216	1	1	.26	1	.28	1	.29	1.05	1	.2539	.3246	1	.25	1	.27	.27	-1	1	.30687	.30676	-1	1	.54	5	-1	1
NS17995M	11020	110	1.366287179763	1	1	1.65	1	1.69	1	1.78	1.05	1	2.281	2.2522	3	-1	1	3.24	-1	3.24	1	-1	2.58353	2.55661	1	2.81	1	3.34	1
NS17996N	12017	120	1.366287179763	1	1	1.3	1	1.18	1	1.12	.94	1	1.1579	1.1208	1	1.13	1	1.21	1.21	-1	1	1.16449	1.16408	-1	1	.95	1	.87	1
NS17997P	12019	120	1.366287179763	1	1	1.34	1	1.26	1	1.22	.97	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.08	1	1.19	1
NS17998Q	10438	104	1.366287179763	1	1	1.21	1	1.18	1	1.17	.99	1	1.4467	1.4013	1	1.44	5	-1	-1	-1	-1	-1	-1	-1	1	2.35	1	2.9	1
NS17999R	13506	135	.151981943324	1	1	.16	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18000G	12901	129	.246782112899	1	1	.33	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18001H	11024	110	.365572593787	1	1	.41	1	.45	1	.51	1.12	1	.4631	.4752	1	.45	1	.45	.45	-1	1	.4775	.47734	-1	2	-1	5	-1	1
NS18002J	13603	136	.151981943324	1	1	.14	1	.13	1	.13	.94	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.17	-1	-1	1
NS18003K	12351	123	.365572593787	1	1	.45	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS18004L	12911	129	.243715062525	1	1	.3	1	.33	1	.34	1.02	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.37	3	-1	1
NS18005M	12009	120	1.366287179763	1	1	1.26	1	1.16	1	1.09	.93	1	1.1049	1.07	1	1.07	1	.99	.99	-1	1	.92665	.92633	-1	1	.85	1	.82	1
NS18007P	11812	118	1.366287179763	1	1	1.27	1	1.25	1	1.25	1	1	1.3217	1.2882	3	-1	3	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS18008Q	11706	117	1.366287179763	1	1	1.09	1	1.46	1	1.45	.99	1	1.3423	1.3083	1	1.26	1	1.26	1.26	-1	1	1.54105	1.54052	-1	5	-1	6	-1	1
NS18009R	11813	118	1.366287179763	1	1	1.23	1	1.15	1	1.12	.98	1	1.1231	1.0941	5	-1	5	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.93	1
NS18010B	11404	114	1.366287179763	1	1	1.12	1	1.21	1	1.14	.94	1	1.1013	1.0664	1	1.07	1	1	1	-1	1	.92477	.92444	-1	1	.76	1	.68	1
NS18011C	12546	125	1.366287179763	1	1	1.27	1	1.16	1	1.09	.94	1	1.1024	1.069	1	1.07	1	1.14	1.14	-1	1	1.10042	1.10004	-1	1	.87	2	-1	1
NS18012D	11726	117	1.366287179763	1	1	1.31	1	1.31	1	1.35	1.03	1	1.3652	1.33	1	1.42	1	1.43	1.43	-1	1	1.56072	1.56017	-1	1	2.49	2	-1	1
NS18013E	12517	125	.421069155828	1	1	.4	1	.39	1	.37	.96	1	.4105	.397	1	.41	1	.41	.41	-1	1	.42262	.42248	-1	1	.37	1	.38	1
NS18014F	10409	104	1.366287179763	1	1	1.14	1	1.03	1	.99	.95	1	1.0575	1.0243	1	1.05	1	.97	.97	-1	1	.88534	.88503	-1	1	.74	1	.68	1
NS18015G	11457	114	1.366287179763	1	1	1.21	1	1.72	1	2.27	1.31	1	2.2989	2.2303	1	2.21	1	2.15	2.15	-1	1	2.15399	2.15324	-1	2	-1	-1	-1	1
NS18016H	12803	128	.196456906932	1	1	.34	1	.52	1	.62	1.19	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.67	-1	-1	1
