NSID	samppsu	sampstratum	W2toW3nrwt	W3finwt	W3mainres	W3secores	W3hrefper	W3qfhhno	W3intmnthMP	W3intyearMP	W3sameaddHH	W3parpresHH	W3parchkHH	W3incarHH	W3intypHH	W3infon	W3hous12HH	W3usevcHH	W3vehnoHH	W3condur4MP	W3condur5MP	W3condur6MP	W3condur4YP	W3condur5YP	W3condur6YP	W3englangHH	W3elseHH0a	W3elseHH0b	W3elseHH0c	W3elseHH0d	W3elseHH0e	W3elseHH0f	W3elseHH0g	W3elseHH0h	W3elseHH0i	W3elseHH0j	W3whopresMP0a	W3whopresMP0b	W3whopresMP0c	W3whopresMP0d	W3whopresMP0e	W3whopresMP0f	W3wrk1aMP	W3wrk10MP	W3wrk11MP	W3wrk12aMP	W3wrk12bMP	W3wrk13MP	W3socMP	W3edfinyMP	W3edfinmMP	W3qualstuMP	W3wrk1aSP	W3wrk10SP	W3wrk11SP	W3wrk12aSP	W3wrk12bSP	W3socSP	W3edfinySP	W3edfinmSP	W3incsourMP0a	W3incsourMP0b	W3incsourMP0c	W3incsourMP0d	W3incsourMP0e	W3incsourMP0f	W3incsourMP0g	W3incsourMP0h	W3incsourMP0i	W3incsourMP0j	W3incsourMP0k	W3incsourMP0l	W3incsourMP0m	W3incestMP	W3parentckMP	W3fatherid	W3motherid	W3empsMP	W3empssp	W3empsdad	W3empsmum	W3empshrp	W3cempszMP	W3cempszSP	W3cempszmum	W3cempszdad	W3cnsseccatMP	W3cnsseccatSP	W3cnsseccatmum	W3cnsseccatdad	W3cnsseccatfam	W3cnssecMP	W3cnssecSP	W3cnssecmum	W3cnssecdad	W3cnssecfam	W3wrkfullMP	W3wrkfullSP	W3wrkfulldad	W3wrkfullmum	W3wrkcurMP	W3wrkcurSP	W3wrkcurdad	W3wrkcurmum	W3socmajorSP	W3socmajorMP	W3mainrespos	W3secorespos	W3cgempsMP	W3cgempsSP	W3cgempsdad	W3cgeMPsmum	W3ethgrpMP	W3ethnicMP	W3ethgrpsp	W3ethnicsp	W3ethgrpdad	W3ethnicdad	W3ethgrpmum	W3ethnicmum	W3incestm	W3incestw	W3ageMP	W3agebd5MP	W3agebd10MP	W3marstatMP	W3sexMP	W3wrkageMP	W3relMP	W3ageSP	W3agebd5SP	W3agebd10SP	W3marstatSP	W3sexSP	W3wrkageSP	W3relSP	W3agemum	W3agebd5mum	W3agebd10mum	W3marstatmum	W3wrkagemum	W3agedad	W3agebd5dad	W3agebd10dad	W3marstatdad	W3wrkagedad	W3depkids	W3ch0_2HH	W3ch3_11HH	W3ch12_15HH	W3ch16_17HH	W3natparHH	W3stepfam	W3famtyp	W3lnpar	W3sibs	urbind	gor	IDACIRSCORE	IMDRSCORE
NS25991B	10418	104	.956753216094301	.261827384318177	3	2	2	4	4	2006	0	1	-91	1	-91	3	2	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	2	2	1	-91	-91	-91	8137	-91	-91	-91	1	2	3	-91	-91	8125	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	4	1	2	3	2	1	1	2	1	7	7	7	7	13.2	12.4	13.2	12.4	12.4	7	6	7	6	6	2	1	1	2	1	1	1	1	8	8	1	1	0	0	0	0	3	8	3	8	3	8	3	8	4	4	36	4	3	2	2	1	8	43	5	3	2	1	1	8	36	4	3	2	1	43	5	3	2	1	2	0	0	1	1	2	0	1	2	1	5	4	.26	32
NS25992C	12003	120	1.00680726874944	1.31580967834903	2	3	2	3	4	2006	0	1	-91	1	-91	2	4	1	1	1	2	2	-91	-91	-91	-91	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	1	-91	-91	-91	3231	-91	-91	-91	5	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	4	2	3	2	2	3	3	2	2	6	-91	6	-91	4.1	14.3	4.1	14.3	4.1	2	8	2	8	2	2	3	3	2	1	2	2	1	-91	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	4	4	40	5	3	1	2	1	8	42	5	3	1	1	1	8	40	5	3	1	1	42	5	3	1	1	-94	0	0	0	1	2	0	2	2	0	5	9	.47	49
NS25995F	12007	120	.932730328434312	.912855387392384	2	3	3	5	4	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	-91	-91	-91	3211	-91	-91	-91	1	1	4	-91	-91	2113	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	12	2	3	2	1	1	1	1	1	6	6	6	6	4.1	3.1	4.1	3.1	3.1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	38	4	3	2	2	1	8	41	5	3	2	1	1	11	38	4	3	2	1	41	5	3	2	1	3	0	1	1	1	1	1	1	2	2	7	9	.03	5
NS25996G	11422	114	.968185849167272	1.26173884864139	2	3	3	4	4	2006	0	1	-91	1	-91	2	5	1	1	1	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	9	-91	-91	-91	-91	-91	-91	-91	0	0	0	1	0	1	1	0	0	0	0	0	0	4	2	3	2	8	8	8	8	8	-91	-91	-91	-91	14.3	14.3	14.3	14.3	14.3	8	8	8	8	8	3	3	3	3	2	2	2	2	-91	-91	1	1	1	0	0	1	1	1	1	1	1	1	1	1	4	4	44	5	3	2	2	1	8	43	5	3	2	1	1	8	44	5	3	2	1	43	5	3	2	1	-94	-94	-94	-94	-94	2	0	1	2	1	5	2	.71	62
NS25997H	11443	114	.937326733825758	1.05860877832462	3	2	2	4	4	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	4	-91	-91	-91	3131	-91	-91	-91	1	1	4	-91	-91	1132	-91	-91	1	0	0	1	0	0	1	1	0	0	0	0	0	11	2	2	3	2	1	1	2	1	7	4	7	4	4.1	2	4.1	2	2	2	1	2	1	1	2	1	1	2	1	1	1	1	1	3	2	2	0	0	0	0	1	1	1	1	1	1	1	1	11	11	50	7	4	2	2	1	8	52	7	4	1	1	1	8	50	7	4	2	1	52	7	4	1	1	1	0	0	0	1	2	0	1	2	1	5	2	.52	45
NS25998J	13710	137	1.13803231974854	.420732134270501	2	-98	2	5	4	2006	0	1	-91	1	-91	2	4	2	-91	2	1	2	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	1	1	0	0	0	0	0	0	0	0	3	-91	-98	2	3	-98	-98	3	3	-91	-98	-91	-98	14.3	-98	14.3	-98	14.3	8	-98	8	-98	8	3	-98	-98	3	2	-98	-98	2	-98	-91	1	-98	1	-98	-98	1	2	7	-98	-98	-98	-98	2	7	3	3	36	4	3	1	2	1	8	-98	-98	-98	-98	-98	-98	-98	36	4	3	1	1	-98	-98	-98	-98	-98	4	0	2	1	1	1	0	4	1	3	5	7	.35	33
NS25999K	13707	137	.986085192133255	.166971028465154	2	-98	2	5	6	2006	0	1	-91	1	-91	2	4	2	-91	1	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	0	0	0	1	1	1	0	0	0	0	0	0	0	-1	-91	-98	2	6	-98	-98	6	6	-91	-98	-91	-98	14.3	-98	14.3	-98	14.3	8	-98	8	-98	8	3	-98	-98	3	2	-98	-98	2	-98	-91	1	-98	0	-98	-98	0	5	10	-98	-98	-98	-98	5	10	-1	-1	56	8	5	6	2	1	8	-98	-98	-98	-98	-98	-98	-98	56	8	5	6	1	-98	-98	-98	-98	-98	-94	-94	-94	-94	-94	1	0	4	1	3	5	7	.86	61
NS26000A	13413	134	1.01253214497959	.248834589755237	2	3	3	5	5	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	-91	-91	-91	6115	-91	-91	-91	-997	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	12	-91	3	2	1	1	1	1	1	7	-94	7	-94	12.2	17	12.2	17	17	6	-94	6	-94	-94	1	1	1	1	1	1	1	1	-91	6	1	1	0	0	0	0	6	12	6	12	6	12	6	12	12	12	45	6	4	1	2	1	8	45	6	4	1	1	1	8	45	6	4	1	1	45	6	4	1	1	2	0	1	0	1	2	0	2	2	2	5	5	.41	41
NS26001B	12041	120	.955850894080703	1.17455107996808	3	2	2	3	4	2006	0	1	-91	1	-91	3	6	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	-91	-91	-91	4123	-91	-91	-91	3	-91	-91	2	1	5245	-91	-91	1	0	0	1	0	1	1	0	0	0	0	0	0	4	2	2	3	2	1	1	2	1	6	2	6	2	6	8.1	6	8.1	8.1	2	4	2	4	4	2	1	1	2	1	1	1	1	5	4	1	1	1	0	0	1	1	1	1	1	1	1	1	1	4	4	54	7	4	2	2	1	8	55	8	5	2	1	1	8	54	7	4	2	1	55	8	5	2	1	1	0	0	1	0	2	0	1	2	0	6	9	.16	12
NS26002C	10434	104	.968312576519646	1.00478937476755	4	2	2	4	4	2006	0	1	-91	1	-91	4	2	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	4	-91	-91	-91	3211	-91	-91	-91	1	1	3	-91	-91	5231	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	12	2	2	4	2	1	1	2	1	6	6	6	6	4.1	10	4.1	10	10	2	5	2	5	5	2	1	1	2	1	1	1	1	5	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	46	6	4	2	2	1	8	49	6	4	2	1	1	8	46	6	4	2	1	49	6	4	2	1	1	0	0	0	1	2	0	1	2	1	6	4	.04	3
NS26004E	12524	125	.952260137305372	1.11549443779436	2	3	3	4	5	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	4	-91	-91	-91	3211	-91	-91	-91	1	2	1	-91	-91	5319	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	9	1	3	2	1	1	1	1	1	6	7	6	7	4.1	12.4	4.1	12.4	12.4	2	6	2	6	6	1	1	1	1	1	1	1	1	5	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	9	9	42	5	3	2	2	1	8	41	5	3	2	1	1	8	42	5	3	2	1	41	5	3	2	1	2	0	0	1	1	2	0	2	2	1	5	3	.02	9
NS26005F	10502	105	.934390697852157	.979296181922213	2	3	2	4	7	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	3	-91	-91	-91	3561	-91	-91	-91	1	2	2	-91	-91	1114	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	0	12	2	3	2	1	1	1	1	1	6	5	6	5	4.1	5	4.1	5	4.1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	48	6	4	2	2	1	8	47	6	4	2	1	1	8	48	6	4	2	1	47	6	4	2	1	2	0	0	1	1	2	0	1	2	1	5	4	.03	5
NS26006G	12517	125	1.00308859985874	.372172607841999	2	3	3	6	5	2006	0	1	-91	1	-91	2	2	1	1	3	2	2	-91	-91	-91	-91	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	4	-91	-91	9134	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	10	2	3	2	6	1	1	6	1	-91	7	-91	7	14.3	13.2	14.3	13.2	13.2	8	7	8	7	7	3	1	1	3	2	1	1	2	9	-91	1	1	0	0	0	0	4	9	4	9	4	9	4	9	10	10	44	5	3	2	2	1	8	42	5	3	2	1	1	8	44	5	3	2	1	42	5	3	2	1	2	0	0	1	1	2	0	1	2	3	5	3	.4	56
NS26007H	13112	131	.976346477991103	.273286120266289	2	3	2	9	4	2006	0	1	-91	1	-91	2	1	1	2	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	-91	-91	-91	1234	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	11	2	2	3	1	6	1	6	1	5	-91	-91	5	5	14.3	14.3	5	5	2	8	8	2	2	1	3	1	3	1	2	1	2	-91	1	1	1	0	1	0	1	2	6	2	6	2	6	2	6	11	11	48	6	4	2	1	1	8	49	6	4	2	2	1	8	49	6	4	2	1	48	6	4	2	1	1	0	0	1	0	2	0	-94	-94	4	5	2	.41	53
NS26008J	10417	104	1.02592276975147	.305274907545986	2	-98	2	2	8	2006	0	1	-91	1	-91	2	1	1	1	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	-91	-91	-91	3520	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	1	0	0	1	0	0	0	0	0	0	0	0	0	-92	-91	-98	2	1	-98	-98	1	1	7	-98	7	-98	7.1	-98	7.1	-98	7.1	3	-98	3	-98	3	1	-98	-98	1	1	-98	-98	1	-98	3	1	-98	0	-98	-98	0	4	9	-98	-98	-98	-98	4	9	-92	-92	42	5	3	4	2	1	8	-98	-98	-98	-98	-98	-98	-98	42	5	3	4	1	-98	-98	-98	-98	-98	1	0	0	0	1	1	0	4	1	0	5	4	.02	4
NS26009K	12004	120	.956824580430339	1.18006236939773	2	3	2	5	6	2006	1	1	-91	1	-91	2	4	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	9	-91	-91	-91	-91	-91	-91	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	0	0	0	1	1	1	1	0	0	0	0	0	0	5	2	3	2	8	6	6	8	8	-91	-91	-91	-91	14.3	14.3	14.3	14.3	14.3	8	8	8	8	8	3	3	3	3	2	2	2	2	-91	-91	1	1	0	1	1	0	1	1	1	1	1	1	1	1	5	5	38	4	3	1	2	1	8	34	3	2	1	1	1	11	38	4	3	1	1	34	3	2	1	1	3	0	2	0	1	1	1	2	2	2	-94	-94	-94	-94
NS26010V	12515	125	.950043420895442	1.06984729935153	4	3	4	5	4	2006	0	1	-91	1	-91	4	2	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	-91	-91	-91	8211	-91	-91	-91	2	2	2	-91	-91	9134	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	2	4	3	1	2	1	2	1	6	7	7	6	10	13.2	13.2	10	10	5	7	7	5	5	1	2	1	2	1	1	1	1	9	8	2	2	0	0	0	0	1	1	1	1	1	1	1	1	-1	-1	39	4	3	2	1	1	8	41	5	3	2	2	1	8	41	5	3	2	1	39	4	3	2	1	2	0	1	0	1	2	0	1	2	1	5	3	.45	53
NS26011W	10101	101	.963506769528952	1.71069541923343	3	2	2	4	4	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	-91	-91	1	-91	-91	3422	-91	-91	-91	3	-91	-91	1	-91	1231	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	12	2	2	3	1	1	1	1	1	3	3	3	3	9.1	9.1	9.1	9.1	9.1	4	4	4	4	4	1	1	1	1	1	1	1	1	1	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	12	12	44	5	3	2	2	1	8	43	5	3	2	1	1	8	44	5	3	2	1	43	5	3	2	1	2	0	0	2	0	2	0	1	2	1	5	2	.03	11
NS26012X	11015	110	1.04100110416881	1.66815837183639	3	2	2	4	5	2006	0	1	-91	1	-91	3	2	1	2	3	1	1	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	4	-91	-91	-91	4131	-91	-91	-91	1	2	1	-91	-91	5319	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	8	2	2	3	2	1	1	2	1	7	7	7	7	7.1	12.4	7.1	12.4	12.4	3	6	3	6	6	2	1	1	2	1	1	1	1	5	4	1	1	0	0	0	0	1	1	1	1	1	1	1	1	8	8	46	6	4	2	2	1	8	49	6	4	2	1	1	8	46	6	4	2	1	49	6	4	2	1	1	0	0	0	1	2	0	1	2	1	5	7	.11	16
