NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS11182Y	1	1	9	2006	-1	9	1	2	11	-9	-9	29	29	1	-1	-1	-1	2	-1
NS11182Y	2	1	8	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11182Y	3	2	4	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11185B	1	1	4	2013	-1	2	3	-1	-1	-1	-1	-1	-1	3	2	1	1	-1	-1
NS11194V	1	2	4	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11194V	2	1	10	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11224K	1	2	9	2010	-1	5	1	-1	-1	2	1985	-1	30	1	-1	-1	-1	2	-1
NS11237H	1	1	12	2006	-1	9	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11237H	2	1	6	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11240V	1	1	12	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11241W	1	1	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	3	1	1	3	-1	-1
NS11255V	1	2	8	2014	-1	1	1	-1	-1	-9	-9	21	21	3	2	1	2	-1	-1
NS11272F	1	1	8	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11293W	1	1	5	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11305Z	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11353V	1	2	7	2011	-1	4	1	-1	-9	2	1988	-1	28	2	-1	-1	1	1	1
NS11353V	2	2	9	2014	-1	1	1	-1	11	2	1988	-1	28	2	-1	-1	1	1	1
NS11357Z	1	2	11	2008	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11357Z	2	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11437M	1	2	12	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11439P	1	2	3	2002	-1	13	3	1	-1	-1	-1	-1	-1	2	-1	-1	1	-1	-1
NS11439P	2	2	1	2006	-1	9	3	1	-1	-1	-1	-1	-1	2	-1	-1	1	-1	-1
NS11439P	3	2	12	2009	-1	5	3	1	-1	-1	-1	-1	-1	2	-1	-1	1	-1	-1
NS11458C	1	2	-9	-9	-9	-9	1	-1	-9	-1	-1	-1	-1	3	1	1	2	-1	-1
NS11458C	2	2	-9	-9	-9	-9	1	-1	-9	-1	-1	-1	-1	3	2	1	2	-1	-1
NS11460N	1	1	3	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11460N	2	1	6	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11482E	1	2	1	2013	-1	2	1	-1	-1	-9	-9	34	34	1	-1	-1	-1	2	-1
NS11482E	2	2	6	2015	-1	0	1	-1	-1	-9	-9	34	34	1	-1	-1	-1	2	-1
NS11496D	1	2	9	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11500Y	1	1	7	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11503B	1	2	7	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11503B	2	2	2	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11508G	1	2	3	2007	-1	8	1	2	11	-9	-9	29	29	1	-1	-1	-1	2	-1
NS11508G	2	1	9	2009	-1	6	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS11508G	3	2	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11541C	1	1	4	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11542D	1	1	3	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11542D	2	1	7	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11560Q	1	1	10	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11566X	1	1	2	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11566X	2	1	1	2013	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11579V	1	1	5	2015	-1	0	1	-1	-1	-9	-9	30	30	1	-1	-1	-1	1	1
NS11587M	1	2	10	2010	-1	5	1	-1	-1	-9	-9	-9	-9	1	-1	-1	-1	2	-1
NS11591A	1	1	9	2011	-1	4	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS11591A	2	2	11	2012	-1	2	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS11602C	1	1	12	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11602C	2	2	3	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11611W	1	1	-9	-9	14	14	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	2	2	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	3	2	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	4	2	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
