NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS11109Z	28	70	1	-1	70
NS11109Z	29	97	2	-1	22
NS11115P	28	400	4	4	100
NS11155S	2	260	4	2	130
NS11155S	6	240	4	4	60
NS11155S	7	304	4	4	76
NS11155S	21	20	1	-1	20
NS11155S	23	102	1	-1	102
NS11168Q	4	207	4	2	103
NS11168Q	28	360	2	-1	83
NS11168Q	29	14	2	-1	3
NS11178K	21	130	2	-1	30
NS11178K	23	173	2	-1	39
NS11178K	28	400	2	-1	92
NS11178K	29	20	2	-1	4
NS11179L	21	42	4	1	42
NS11179L	23	153	4	1	153
NS11179L	28	34	4	1	34
NS11179L	29	6	4	1	6
NS11182Y	7	21	1	-1	21
NS11182Y	21	48	1	-1	48
NS11182Y	22	18	1	-1	18
NS11182Y	23	164	1	-1	164
NS11182Y	28	39	1	-1	39
NS11182Y	29	16	1	-1	16
NS11194V	21	33	4	1	33
NS11224K	1	124	1	-1	124
NS11224K	2	52	1	-1	52
NS11224K	21	-8	1	-1	-1
NS11224K	23	62	1	-1	62
NS11237H	21	34	4	1	34
NS11237H	22	40	1	-1	40
NS11237H	23	112	1	-1	112
NS11240V	21	82	2	-1	18
NS11272F	21	30	1	-1	30
NS11272F	22	54	1	-1	54
NS11272F	23	20	1	-1	20
NS11272F	28	350	2	-1	80
NS11272F	29	350	3	-1	6
NS11293W	21	82	2	-1	18
NS11305Z	21	80	2	-1	18
NS11305Z	23	0	-8	-1	-8
NS11318X	1	174	4	2	87
NS11346D	22	200	4	4	50
NS11353V	2	0	1	-1	0
NS11353V	21	146	-9	-1	-8
NS11353V	23	34	4	1	34
NS11353V	28	19	4	1	19
NS11353V	29	115	4	4	28
NS11357Z	21	82	4	4	20
NS11377N	1	100	4	2	50
NS11377N	4	200	4	2	100
NS11437M	21	82	2	-1	18
NS11439P	21	53	1	-1	53
NS11439P	22	20	1	-1	20
NS11439P	23	55	1	-1	55
NS11457B	1	108	4	2	54
NS11457B	28	212	1	-1	212
NS11457B	29	-8	-8	-1	-1
NS11460N	21	0	4	1	0
NS11481D	29	-8	-8	-1	-1
NS11482E	2	345	2	-1	79
NS11482E	7	550	2	-1	127
NS11482E	21	34	1	-1	34
NS11482E	23	121	1	-1	121
NS11482E	28	78	1	-1	78
NS11482E	29	0	-8	-1	-8
NS11488L	22	37	2	-1	8
NS11496D	21	80	2	-1	18
NS11500Y	21	80	2	-1	18
NS11500Y	22	225	2	-1	51
NS11503B	21	34	4	1	34
NS11508G	21	190	4	4	47
NS11508G	22	90	1	-1	90
NS11508G	23	170	1	-1	170
NS11508G	28	500	2	-1	115
NS11508G	29	30	1	-1	30
NS11534L	22	274	2	-1	63
NS11541C	21	80	2	-1	18
NS11541C	22	71	2	-1	16
NS11541C	23	71	2	-1	16
NS11542D	21	137	2	-1	31
NS11542D	23	72	1	-1	72
NS11560Q	21	80	1	-1	80
NS11560Q	22	80	1	-1	80
NS11560Q	23	80	1	-1	80
NS11566X	21	133	2	-1	30
NS11566X	23	211	2	-1	48
NS11579V	21	80	2	-1	18
NS11581F	1	50	1	-1	50
NS11587M	21	-9	-9	-1	-1
NS11587M	22	-9	-9	-1	-1
NS11587M	23	-9	-9	-1	-1
NS11602C	21	80	2	-1	18
NS11602C	23	72	1	-1	72
NS11613Y	21	20	1	-1	20
