NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS25627P	10849	108	1.03456310942076	1	8	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	53	45	1	1	1	1	-91	-91	-91	-91	11	52	1	1	4	7	2	3	1	1	1	2	5	2	5	8.1	2	4
NS25628Q	11902	119	.249830805134086	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	22	52	1	1	1	1	-91	-91	-91	-91	22	52	1	1	5	6	2	3	1	1	1	2	6	2	4.1	4.3	2	2
NS25629R	11743	117	2.34435267257068	2	9	2008	1	-91	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	7	-91	3	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25630B	10420	104	.289933253447112	1	7	2008	1	-91	-91	1	-1	-91	-91	1	1	2	2	-91	-91	-91	-91	41	75	1	1	2	2	-91	-91	-91	-91	23	80	1	1	5	7	2	3	1	1	1	1	7	7	4.1	7.1	2	3
NS25631C	12524	125	1.08714137089578	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	81	45	1	1	1	3	-91	-91	-91	-91	32	85	1	1	6	5	3	2	1	1	1	2	6	3	4.1	9.1	2	4
NS25633E	10303	103	1.69747749370017	1	9	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	3	-91	11	85	1	1	1	2	-91	-91	-91	-91	23	80	1	1	6	8	3	4	1	1	1	2	6	1	4.1	1	2	1
NS25635G	11752	117	.965305039827373	3	6	2008	1	-91	-91	1	1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	1	-91	9	-91	4	-91	1	-98	0	-98	-91	-98	14.3	-98	8
NS25636H	10302	103	2.73336331490383	3	6	2008	1	-91	-91	1	-1	-91	-91	1	1	-1	-1	1	-91	-91	-91	12	36	1	1	2	1	-91	-91	-91	-91	41	85	1	1	4	4	2	2	1	1	1	1	7	5	7.1	5	3	2
NS25638K	13702	137	.250780039685352	3	6	2008	1	-91	-91	2	-91	2	-91	1	1	1	-1	-1	-91	-91	-91	54	52	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	6	2	3	1	1	0	1	-91	6	14.3	10	8	5
NS25639L	12808	128	.179509273245729	1	7	2008	1	-91	-91	2	-91	-1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	7	3	3	1	1	0	0	-91	-91	14.3	14.3	8	8
