NSID	SampPSU	SampStratum	W2FinWt	w2intmonthMP	w2intyearMP	w2intmonthSP	w2intyearSP	W2pareveMP	W2tmeetfMP	W2tspeakMP	W2schlifMP	W2vocs1MP	W2vocs2MP	W2extrtu1MP	W2extrtu2MP0a	W2extrtu2MP0b	W2extrtu2MP0c	W2extrtu2MP0d	W2extrtu2MP0e	W2extrtu2MP0f	W2extrtu2MP0g	W2extrtu2MP0h	W2extrtu2MP0i	W2extrtu2MP0j	W2extrtu2MP0k	W2extrtu3MP	W2extrtu4MP	W2extrtu5MP0a	W2extrtu5MP0b	W2extrtu5MP0c	W2extrtu5MP0d	W2extrtu5MP0e	W2extrtu5MP0f	W2extrtu5MP0g	W2extrtu5MP0h	W2extrtu5MP0i	W2extrtu5MP0j	W2extrtu5MP0k	W2extrtu6MP	W2parasp2MP	W2parasp1MP	W2jobdiscMP	W2AwarEmaMP	W2EmaGetMP	W2EmaYnotMP0a	W2EmaYnotMP0b	W2EmaYnotMP0c	W2EmaYnotMP0d	W2EmaYnotMP0e	W2EmaYnotMP0f	W2EmaYnotMP0g	W2FeFinMP0a	W2FeFinMP0b	W2FeFinMP0c	W2FeFinMP0d	W2FeFinMP0e	W2FeFinMP0f	W2FeFinMP0g	W2FEfn2MP0a	W2FEfn2MP0b	W2FEfn2MP0c	W2FEfn2MP0d	W2FEfn2MP0e	W2FEfn2MP0f	W2FEfn2MP0g	W2FEfn2MP0h	W2FEfn2MP0i	W2FEfn2MP0k	W2FEfn2MP0j	W2PpresMP0a	W2PpresMP0b	W2PpresMP0c	W2PpresMP0d	W2PpresMP0e	W2PpresMP0f	w2mainres	w2secores
NS19771F	13113	131	.270886247605025	6	2005	-91	-91	6	1	3	1	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	1	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	 	 
NS15815M	10911	109	.20392889117945	5	2005	-91	-91	2	2	4	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	 	 
NS10318B	12508	125	1.35563685616793	5	2005	-91	-91	2	1	3	3	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	1	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	 	 
NS10110N	12504	125	1.54162309739048	8	2005	8	2005	1	1	3	3	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	 	 
NS13150D	11755	117	1.1022288034594	6	2005	6	2005	1	2	5	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	 	 
NS18866Y	12912	129	.321015907837127	7	2005	-91	-91	2	2	2	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	 	 
NS24481A	12519	125	.439711074700248	7	2005	7	2005	2	1	3	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 	 
NS25356Q	11430	114	1.19623505760782	7	2005	7	2005	2	2	5	3	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	3	1	2	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	 	 
NS24945M	13413	134	.301866287254587	6	2005	6	2005	6	2	4	2	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	1	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	1	1	0	 	 
NS12126F	10306	103	1.59062223681246	9	2005	9	2005	1	2	3	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	-91	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	 	 
