idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.05,0.0,1.0,1.0,2.0,0.05263,0,2.0,2.0,2,5.0,5.0,3.0,22,2,2.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0
0.11,0.0,1.0,1.0,,0.05263,1,2.0,1.0,1,5.0,6.0,3.0,10,8,2.0,2.0,4.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0
0.08,1.0,5.0,1.0,2.0,0.05263,0,4.0,1.0,1,5.0,3.0,2.0,9,6,3.0,1.0,3.0,1.0,3.0,2.0,0.0,4.0,0.0,1.0
0.43,0.0,7.0,3.0,4.0,0.05263,1,5.0,2.0,1,3.0,4.0,3.0,48,3,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
0.5,0.0,0.0,3.0,,0.05263,0,5.0,1.0,1,4.0,5.0,2.0,44,7,2.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0
0.07,0.0,1.0,1.0,2.0,0.05263,0,2.0,2.0,1,4.0,3.0,2.0,14,3,3.0,2.0,5.0,1.0,2.0,1.0,0.0,,1.0,0.0
0.04,1.0,4.0,1.0,,0.05263,0,4.0,1.0,2,4.0,6.0,2.0,12,2,2.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0
0.1,0.0,8.0,1.0,1.0,0.05263,0,3.0,1.0,1,4.0,6.0,2.0,9,9,3.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0
0.5,0.0,0.0,1.0,2.0,0.10526,0,2.0,2.0,2,1.0,2.0,3.0,60,3,1.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0
0.07,0.0,1.0,1.0,1.0,0.15789,0,3.0,2.0,1,4.0,5.0,1.0,13,5,2.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0
0.26,0.0,0.0,1.0,1.0,0.15789,0,3.0,2.0,1,5.0,6.0,2.0,27,1,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
0.62,1.0,,1.0,2.0,0.26316,0,4.0,1.0,2,6.0,6.0,3.0,52,9,3.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0
0.22,1.0,2.0,1.0,2.0,0.05263,0,2.0,1.0,2,3.0,6.0,3.0,35,9,3.0,1.0,4.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0
0.05,0.0,12.0,1.0,2.0,0.21053,1,1.0,2.0,2,3.0,1.0,3.0,9,4,3.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.05263,0,1.0,2.0,1,4.0,5.0,1.0,10,6,2.0,2.0,3.0,6.0,2.0,1.0,0.0,3.0,1.0,1.0
0.11,0.0,1.0,1.0,3.0,0.05263,0,3.0,1.0,1,5.0,3.0,2.0,16,4,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0
0.36,0.0,1.0,1.0,2.0,0.05263,1,3.0,1.0,2,3.0,6.0,3.0,36,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0
0.09,1.0,0.0,1.0,2.0,0.10526,1,4.0,2.0,2,1.0,6.0,3.0,5,4,3.0,1.0,2.0,6.0,2.0,1.0,1.0,3.0,0.0,1.0
0.54,0.0,2.0,1.0,2.0,0.05263,0,1.0,2.0,1,5.0,6.0,1.0,44,7,2.0,2.0,4.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0
0.21,0.0,10.0,1.0,1.0,0.05263,1,3.0,1.0,2,4.0,3.0,3.0,18,2,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0
0.23,1.0,3.0,1.0,1.0,0.26316,0,3.0,2.0,2,3.0,2.0,3.0,15,9,3.0,1.0,3.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0
0.14,0.0,0.0,1.0,2.0,0.21053,0,2.0,2.0,1,4.0,3.0,2.0,13,8,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
0.07,0.0,5.0,1.0,2.0,0.05263,0,1.0,2.0,1,5.0,6.0,1.0,5,8,2.0,2.0,,2.0,3.0,1.0,0.0,3.0,1.0,0.0
0.31,0.0,1.0,1.0,3.0,0.05263,0,3.0,2.0,2,1.0,6.0,3.0,27,7,3.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0
0.11,0.0,1.0,1.0,4.0,0.05263,0,4.0,1.0,2,2.0,6.0,3.0,11,2,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
0.23,0.0,3.0,3.0,2.0,0.05263,0,3.0,1.0,1,5.0,6.0,1.0,32,7,2.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0
0.27,0.0,0.0,1.0,2.0,0.05263,0,3.0,2.0,2,3.0,6.0,3.0,16,6,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
0.41,1.0,2.0,3.0,2.0,0.05263,1,1.0,1.0,1,4.0,6.0,2.0,31,6,2.0,2.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0
0.26,0.0,4.0,3.0,2.0,0.05263,0,3.0,2.0,1,4.0,5.0,2.0,22,7,2.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0,0.0,1.0
0.32,0.0,0.0,3.0,2.0,0.05263,0,5.0,2.0,2,3.0,6.0,3.0,39,3,2.0,2.0,5.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
0.18,0.0,3.0,3.0,1.0,0.05263,0,5.0,1.0,2,2.0,3.0,3.0,21,3,2.0,2.0,3.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0
0.24,0.0,7.0,3.0,1.0,0.05263,1,5.0,1.0,1,5.0,5.0,2.0,37,4,2.0,2.0,,5.0,4.0,1.0,1.0,3.0,1.0,1.0
0.07,0.0,0.0,1.0,2.0,0.21053,0,2.0,1.0,1,5.0,2.0,2.0,3,8,2.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
0.41,0.0,6.0,3.0,3.0,0.05263,0,3.0,2.0,1,5.0,6.0,1.0,37,2,2.0,2.0,4.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0
0.35,0.0,0.0,4.0,,0.05263,0,2.0,1.0,1,4.0,5.0,2.0,43,7,1.0,1.0,4.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0
0.02,1.0,2.0,1.0,3.0,0.15789,0,2.0,2.0,2,4.0,3.0,3.0,2,8,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0
0.2,0.0,,3.0,,0.05263,1,5.0,1.0,2,4.0,4.0,2.0,26,3,2.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0
0.23,0.0,3.0,1.0,2.0,0.05263,0,3.0,1.0,2,4.0,4.0,3.0,14,6,2.0,,4.0,3.0,3.0,3.0,0.0,4.0,0.0,0.0
0.21,1.0,1.0,1.0,3.0,0.05263,0,2.0,2.0,2,2.0,2.0,3.0,16,6,2.0,2.0,3.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0
0.29,1.0,0.0,2.0,2.0,0.05263,0,4.0,2.0,2,2.0,5.0,3.0,26,3,2.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0
0.39,1.0,1.0,1.0,2.0,0.05263,0,5.0,2.0,1,5.0,5.0,2.0,27,7,2.0,2.0,3.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0
